round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,6.845067,0.293750,0.137500,0.071875,0.106586,0.054044,0.029650,0.167112,0.166841,0.166512,0.166512,0.166512,0.166512
2,9.268221,0.290625,0.171875,0.115625,0.113066,0.059538,0.040212,0.166249,0.166414,0.166874,0.166667,0.166671,0.167125
3,10.427366,0.334375,0.200000,0.115625,0.118855,0.063759,0.050188,0.164976,0.165828,0.167436,0.166963,0.167064,0.167733
4,11.275489,0.350000,0.196875,0.150000,0.123014,0.068815,0.058254,0.163717,0.165153,0.167978,0.167153,0.167617,0.168383
5,9.665470,0.265625,0.175000,0.118750,0.126176,0.071540,0.065468,0.162617,0.164526,0.168327,0.167467,0.168104,0.168958
6,11.854855,0.293750,0.206250,0.150000,0.129626,0.074751,0.074450,0.160962,0.163939,0.168646,0.168073,0.168734,0.169646
7,9.784982,0.318750,0.171875,0.125000,0.131075,0.076802,0.080732,0.159541,0.163463,0.168916,0.168500,0.169376,0.170204
8,11.459619,0.275000,0.196875,0.146875,0.133410,0.079014,0.087430,0.157808,0.162743,0.169290,0.169089,0.170168,0.170901
9,10.927917,0.331250,0.203125,0.125000,0.134887,0.079909,0.090333,0.156208,0.162154,0.169595,0.169623,0.170892,0.171529
10,11.386174,0.293750,0.190625,0.156250,0.136124,0.082034,0.093919,0.154531,0.161486,0.169878,0.170213,0.171695,0.172197
11,8.837343,0.287500,0.162500,0.103125,0.136305,0.081954,0.098179,0.153137,0.160924,0.170195,0.170696,0.172315,0.172733
12,10.663928,0.296875,0.184375,0.134375,0.136904,0.082847,0.102149,0.151530,0.160142,0.170576,0.171266,0.173117,0.173369
13,12.582799,0.312500,0.215625,0.165625,0.138335,0.084285,0.105745,0.149486,0.159329,0.171095,0.171961,0.173988,0.174142
14,8.792179,0.278125,0.156250,0.109375,0.138413,0.084362,0.108359,0.148095,0.158877,0.171367,0.172354,0.174655,0.174652
15,10.090865,0.306250,0.178125,0.125000,0.138659,0.084727,0.110523,0.146538,0.158295,0.171675,0.172851,0.175398,0.175243
16,9.739027,0.315625,0.171875,0.118750,0.138564,0.084863,0.110622,0.145021,0.157691,0.172000,0.173317,0.176163,0.175808
17,11.871277,0.303125,0.196875,0.159375,0.139087,0.086081,0.113891,0.143029,0.156936,0.172486,0.173969,0.177039,0.176541
18,9.924306,0.306250,0.175000,0.121875,0.139096,0.086194,0.117195,0.141471,0.156339,0.172833,0.174451,0.177776,0.177129
19,11.714495,0.328125,0.212500,0.140625,0.140097,0.086525,0.118790,0.139846,0.155696,0.173123,0.174958,0.178598,0.177779
20,10.221530,0.278125,0.171875,0.134375,0.140153,0.086904,0.118661,0.138254,0.154917,0.173542,0.175519,0.179362,0.178407
21,12.419385,0.315625,0.209375,0.162500,0.140887,0.088223,0.121748,0.136311,0.154235,0.173898,0.176099,0.180319,0.179138
22,10.023607,0.296875,0.162500,0.137500,0.140206,0.088748,0.123124,0.134734,0.153584,0.174243,0.176628,0.181070,0.179741
23,10.016023,0.296875,0.168750,0.128125,0.139548,0.088619,0.124334,0.133018,0.152825,0.174718,0.177230,0.181821,0.180388
24,10.583606,0.275000,0.181250,0.137500,0.139592,0.088552,0.124961,0.131101,0.152087,0.175210,0.177864,0.182651,0.181087
25,10.096111,0.281250,0.181250,0.125000,0.140142,0.088833,0.126294,0.129609,0.151585,0.175462,0.178290,0.183404,0.181650
26,10.016352,0.296875,0.168750,0.137500,0.140228,0.089802,0.127325,0.128042,0.151082,0.175763,0.178738,0.184149,0.182227
27,11.233408,0.293750,0.184375,0.153125,0.140679,0.090584,0.129291,0.126326,0.150336,0.176131,0.179297,0.185017,0.182892
28,9.984813,0.268750,0.168750,0.131250,0.140595,0.090459,0.130562,0.124648,0.149587,0.176609,0.179880,0.185750,0.183526
29,10.257565,0.296875,0.178125,0.131250,0.140880,0.090825,0.131042,0.123298,0.148975,0.176827,0.180304,0.186516,0.184080
30,10.782829,0.312500,0.190625,0.131250,0.141531,0.091090,0.133140,0.121737,0.148348,0.177090,0.180814,0.187325,0.184687
31,10.516994,0.287500,0.171875,0.143750,0.141147,0.091248,0.133433,0.120017,0.147562,0.177514,0.181462,0.188109,0.185336
32,9.976369,0.287500,0.156250,0.140625,0.140566,0.091778,0.134574,0.118609,0.146791,0.177851,0.181997,0.188849,0.185903
33,10.790482,0.303125,0.193750,0.131250,0.141329,0.091701,0.135216,0.116973,0.146044,0.178234,0.182557,0.189670,0.186522
34,12.276371,0.300000,0.212500,0.153125,0.142304,0.091883,0.135491,0.114978,0.145144,0.178734,0.183238,0.190641,0.187265
35,8.623595,0.237500,0.140625,0.115625,0.141390,0.091452,0.136219,0.113382,0.144446,0.179197,0.183818,0.191321,0.187834
36,11.895068,0.306250,0.193750,0.162500,0.141470,0.092055,0.135735,0.111390,0.143552,0.179710,0.184528,0.192262,0.188559
37,10.013640,0.256250,0.168750,0.131250,0.141521,0.091963,0.136861,0.109788,0.142873,0.180124,0.185048,0.193015,0.189152
38,9.499221,0.293750,0.168750,0.118750,0.141087,0.091225,0.136565,0.108162,0.142081,0.180600,0.185659,0.193740,0.189758
39,10.421730,0.315625,0.178125,0.137500,0.140931,0.091422,0.136232,0.106490,0.141423,0.180999,0.186190,0.194534,0.190365
40,11.658973,0.300000,0.196875,0.156250,0.141385,0.091989,0.135279,0.104727,0.140567,0.181468,0.186805,0.195384,0.191049
41,10.296667,0.343750,0.178125,0.128125,0.141072,0.091942,0.136741,0.103056,0.139925,0.181888,0.187319,0.196148,0.191663
42,9.600669,0.278125,0.165625,0.121875,0.140785,0.091492,0.137605,0.101499,0.139131,0.182362,0.187856,0.196885,0.192266
43,11.617701,0.296875,0.190625,0.156250,0.140845,0.091699,0.137055,0.099490,0.138180,0.182979,0.188548,0.197780,0.193023
44,9.946701,0.300000,0.168750,0.131250,0.140661,0.091840,0.135827,0.097968,0.137586,0.183340,0.188988,0.198518,0.193599
45,11.454138,0.334375,0.196875,0.146875,0.140730,0.092059,0.136061,0.096112,0.136768,0.183820,0.189590,0.199413,0.194297
46,9.631064,0.293750,0.171875,0.118750,0.140542,0.091408,0.135070,0.094454,0.136063,0.184279,0.190133,0.200161,0.194909
47,10.361037,0.300000,0.181250,0.128125,0.140810,0.091354,0.135603,0.092897,0.135333,0.184654,0.190641,0.200952,0.195522
48,9.016147,0.253125,0.150000,0.121875,0.140332,0.091287,0.133847,0.091261,0.134682,0.185126,0.191186,0.201629,0.196115
49,10.272892,0.265625,0.175000,0.128125,0.140445,0.091128,0.131678,0.089592,0.133860,0.185578,0.191742,0.202463,0.196765
50,9.891430,0.256250,0.178125,0.118750,0.140615,0.090240,0.130428,0.087772,0.133038,0.186130,0.192375,0.203251,0.197434
51,11.534164,0.296875,0.193750,0.153125,0.140582,0.090394,0.129390,0.085693,0.132073,0.186746,0.193096,0.204185,0.198206
52,10.854587,0.287500,0.175000,0.153125,0.140534,0.091167,0.128919,0.083948,0.131160,0.187223,0.193711,0.205061,0.198897
53,12.261650,0.321875,0.218750,0.153125,0.141541,0.091448,0.128332,0.081979,0.130294,0.187731,0.194344,0.205997,0.199655
54,9.030851,0.271875,0.146875,0.121875,0.140645,0.091022,0.129112,0.080419,0.129460,0.188226,0.194927,0.206709,0.200259
55,11.456106,0.309375,0.193750,0.153125,0.141428,0.091915,0.130801,0.078864,0.128682,0.188586,0.195441,0.207532,0.200896
56,9.776164,0.259375,0.168750,0.121875,0.141453,0.091400,0.133446,0.077081,0.128034,0.189060,0.196011,0.208283,0.201531
57,10.189566,0.300000,0.178125,0.125000,0.141252,0.090942,0.132542,0.075537,0.127131,0.189509,0.196570,0.209089,0.202164
58,9.493565,0.234375,0.159375,0.125000,0.141067,0.090676,0.132966,0.073761,0.126402,0.190009,0.197149,0.209868,0.202811
59,9.458123,0.262500,0.159375,0.125000,0.140643,0.090515,0.132171,0.072139,0.125642,0.190469,0.197691,0.210629,0.203430
60,12.116932,0.315625,0.218750,0.146875,0.141950,0.090844,0.132923,0.070213,0.124793,0.190920,0.198275,0.211630,0.204168
61,11.743197,0.300000,0.206250,0.146875,0.142496,0.090768,0.133901,0.068162,0.123919,0.191507,0.198936,0.212552,0.204926
62,10.421408,0.287500,0.175000,0.137500,0.142393,0.090858,0.133847,0.066400,0.122997,0.192015,0.199539,0.213435,0.205614
63,8.108515,0.284375,0.146875,0.096875,0.141514,0.090221,0.134786,0.064990,0.122455,0.192398,0.199987,0.214042,0.206128
64,12.014738,0.300000,0.203125,0.156250,0.142021,0.091004,0.135945,0.062956,0.121495,0.192963,0.200635,0.215042,0.206911
65,10.785799,0.306250,0.190625,0.137500,0.142488,0.091306,0.136506,0.061228,0.120804,0.193379,0.201120,0.215908,0.207562
66,11.138010,0.303125,0.184375,0.153125,0.142637,0.092120,0.137251,0.059513,0.120060,0.193807,0.201635,0.216763,0.208221
67,10.878555,0.296875,0.181250,0.146875,0.142188,0.092067,0.137210,0.057460,0.119183,0.194433,0.202267,0.217684,0.208973
68,10.360392,0.303125,0.190625,0.118750,0.142269,0.091140,0.136326,0.055679,0.118408,0.194927,0.202801,0.218543,0.209643
69,8.046912,0.293750,0.137500,0.103125,0.140790,0.090402,0.135417,0.054277,0.117684,0.195379,0.203271,0.219206,0.210183
70,9.221964,0.281250,0.171875,0.109375,0.140869,0.089738,0.134235,0.052640,0.116991,0.195834,0.203783,0.219961,0.210790
71,9.336369,0.271875,0.156250,0.121875,0.140340,0.089785,0.134636,0.050988,0.116219,0.196328,0.204307,0.220740,0.211418
72,9.250873,0.284375,0.162500,0.118750,0.140348,0.089696,0.135364,0.049625,0.115557,0.196682,0.204722,0.221456,0.211959
73,10.029080,0.293750,0.178125,0.125000,0.140556,0.089696,0.136281,0.047845,0.114954,0.197104,0.205238,0.222263,0.212596
74,11.213719,0.315625,0.200000,0.134375,0.141090,0.089579,0.136800,0.045880,0.114181,0.197640,0.205829,0.223154,0.213316
75,10.198840,0.296875,0.175000,0.131250,0.140943,0.089536,0.134889,0.044103,0.113483,0.198111,0.206363,0.223966,0.213975
76,10.465213,0.312500,0.184375,0.134375,0.141288,0.090030,0.134382,0.042424,0.112838,0.198511,0.206839,0.224788,0.214601
77,10.953133,0.290625,0.193750,0.137500,0.142115,0.090553,0.135142,0.040765,0.112048,0.198957,0.207351,0.225633,0.215245
78,11.201347,0.265625,0.178125,0.156250,0.142271,0.091383,0.136871,0.038798,0.111125,0.199589,0.207995,0.226506,0.215987
79,11.244537,0.312500,0.190625,0.146875,0.142185,0.091671,0.135116,0.036763,0.110278,0.200180,0.208599,0.227449,0.216732
80,10.033599,0.275000,0.162500,0.137500,0.141470,0.091615,0.133480,0.034886,0.109429,0.200774,0.209197,0.228296,0.217419
81,9.346589,0.315625,0.171875,0.109375,0.141180,0.090850,0.132224,0.033250,0.108781,0.201222,0.209716,0.229021,0.218010
82,9.534663,0.284375,0.159375,0.125000,0.140292,0.090453,0.130950,0.031470,0.107878,0.201829,0.210382,0.229767,0.218673
83,10.836010,0.290625,0.184375,0.140625,0.140669,0.090587,0.132349,0.029550,0.106992,0.202395,0.211049,0.230627,0.219387
84,11.970270,0.315625,0.206250,0.156250,0.141590,0.091365,0.132922,0.027565,0.106049,0.202958,0.211734,0.231549,0.220146
85,10.416670,0.309375,0.178125,0.134375,0.141587,0.091518,0.133562,0.025795,0.105338,0.203421,0.212309,0.232342,0.220795
86,8.743200,0.246875,0.140625,0.121875,0.140537,0.091228,0.133117,0.023996,0.104482,0.204061,0.212956,0.233047,0.221458
87,12.160055,0.300000,0.203125,0.165625,0.141487,0.092373,0.133751,0.022056,0.103684,0.204521,0.213530,0.234005,0.222205
88,11.513582,0.328125,0.203125,0.150000,0.142444,0.092886,0.133892,0.020142,0.102994,0.204948,0.214082,0.234915,0.222918
89,10.495483,0.321875,0.171875,0.146875,0.141915,0.093330,0.134685,0.018369,0.102184,0.205423,0.214680,0.235754,0.223590
90,9.919310,0.293750,0.175000,0.121875,0.141855,0.092894,0.135009,0.016412,0.101428,0.205977,0.215315,0.236576,0.224291
91,9.628239,0.293750,0.178125,0.112500,0.141633,0.091836,0.133868,0.014561,0.100713,0.206516,0.215920,0.237332,0.224958
92,9.404364,0.262500,0.171875,0.109375,0.141468,0.090857,0.131362,0.012824,0.099893,0.207054,0.216502,0.238109,0.225619
93,10.510213,0.303125,0.187500,0.131250,0.141500,0.090575,0.129290,0.010853,0.099026,0.207650,0.217167,0.238955,0.226350
94,8.301030,0.259375,0.143750,0.103125,0.140584,0.089753,0.128353,0.009277,0.098281,0.208152,0.217697,0.239654,0.226940
95,10.089799,0.293750,0.184375,0.115625,0.140772,0.088999,0.129116,0.007623,0.097421,0.208640,0.218241,0.240479,0.227596
96,9.922863,0.306250,0.181250,0.115625,0.140703,0.088354,0.130401,0.005863,0.096622,0.209159,0.218835,0.241258,0.228262
97,9.636709,0.321875,0.175000,0.112500,0.140696,0.088016,0.132483,0.004455,0.095922,0.209519,0.219294,0.241976,0.228834
98,9.166650,0.265625,0.165625,0.109375,0.140705,0.087489,0.132489,0.002905,0.095143,0.209996,0.219821,0.242700,0.229435
99,10.595735,0.293750,0.178125,0.140625,0.140691,0.088020,0.133334,0.000995,0.094399,0.210489,0.220414,0.243562,0.230140
100,11.155042,0.293750,0.190625,0.146875,0.141246,0.088779,0.134339,0.000000,0.093451,0.210766,0.220813,0.244299,0.230671
101,11.019733,0.284375,0.190625,0.140625,0.141834,0.089115,0.133613,0.000000,0.092172,0.210916,0.221047,0.244837,0.231029
102,10.325531,0.303125,0.171875,0.137500,0.141365,0.089654,0.130381,0.000000,0.090961,0.211030,0.221274,0.245366,0.231370
103,10.210219,0.318750,0.178125,0.125000,0.141246,0.089539,0.131748,0.000000,0.089840,0.211104,0.221495,0.245878,0.231684
104,10.472075,0.271875,0.181250,0.137500,0.141616,0.089720,0.131001,0.000000,0.088694,0.211245,0.221733,0.246321,0.232006
105,11.051345,0.309375,0.190625,0.140625,0.141776,0.089796,0.132536,0.000000,0.087367,0.211422,0.222011,0.246834,0.232366
106,12.133703,0.321875,0.206250,0.162500,0.142339,0.090436,0.133266,0.000000,0.086046,0.211569,0.222255,0.247388,0.232741
107,11.313640,0.293750,0.187500,0.150000,0.142269,0.090927,0.133901,0.000000,0.084700,0.211764,0.222517,0.247909,0.233110
108,8.386268,0.275000,0.137500,0.115625,0.141180,0.090878,0.134568,0.000000,0.083734,0.211893,0.222680,0.248313,0.233381
109,10.310519,0.331250,0.181250,0.125000,0.141399,0.091068,0.136657,0.000000,0.082795,0.211891,0.222766,0.248868,0.233681
110,10.489469,0.287500,0.168750,0.146875,0.140896,0.091332,0.134734,0.000000,0.081547,0.212091,0.223011,0.249331,0.234021
111,12.849475,0.293750,0.221875,0.162500,0.142104,0.091729,0.135296,0.000000,0.079994,0.212315,0.223286,0.249958,0.234447
112,10.218577,0.296875,0.175000,0.131250,0.141609,0.091324,0.136424,0.000000,0.078709,0.212536,0.223518,0.250450,0.234787
113,10.289826,0.303125,0.181250,0.131250,0.141753,0.091315,0.136645,0.000000,0.077626,0.212666,0.223692,0.250920,0.235095
114,10.254730,0.278125,0.175000,0.131250,0.141758,0.091172,0.137175,0.000000,0.076414,0.212850,0.223904,0.251403,0.235428
115,10.457851,0.300000,0.171875,0.140625,0.141155,0.091064,0.135888,0.000000,0.075119,0.213070,0.224139,0.251893,0.235780
116,10.472662,0.321875,0.190625,0.125000,0.141547,0.090836,0.136259,0.000000,0.074090,0.213141,0.224297,0.252384,0.236088
117,8.937377,0.256250,0.156250,0.112500,0.140880,0.089950,0.133140,0.000000,0.072913,0.213367,0.224544,0.252780,0.236396
118,10.301069,0.268750,0.168750,0.143750,0.140626,0.090163,0.131232,0.000000,0.071573,0.213596,0.224829,0.253260,0.236743
119,8.739545,0.259375,0.146875,0.115625,0.139801,0.089712,0.129766,0.000000,0.070510,0.213774,0.225036,0.253658,0.237023
120,11.838105,0.287500,0.209375,0.146875,0.140723,0.089573,0.128567,0.000000,0.069137,0.213965,0.225272,0.254230,0.237396
121,9.429149,0.300000,0.156250,0.128125,0.140091,0.089793,0.130458,0.000000,0.068045,0.214108,0.225471,0.254673,0.237703
122,11.336888,0.271875,0.190625,0.150000,0.140420,0.089984,0.131705,0.000000,0.066569,0.214367,0.225751,0.255224,0.238089
123,8.469403,0.293750,0.146875,0.106250,0.139393,0.089454,0.132058,0.000000,0.065512,0.214527,0.225941,0.255651,0.238369
124,10.298061,0.281250,0.178125,0.131250,0.139852,0.089698,0.132011,0.000000,0.064428,0.214575,0.226114,0.256206,0.238677
125,11.620107,0.312500,0.203125,0.146875,0.140669,0.089937,0.133311,0.000000,0.063069,0.214726,0.226380,0.256785,0.239040
126,11.289604,0.303125,0.190625,0.146875,0.140769,0.090259,0.135238,0.000000,0.061603,0.214941,0.226693,0.257348,0.239415
127,9.845861,0.287500,0.168750,0.131250,0.140893,0.090772,0.134061,0.000000,0.060670,0.215020,0.226857,0.257772,0.239680
128,10.000306,0.278125,0.168750,0.134375,0.140854,0.091054,0.134169,0.000000,0.059622,0.215102,0.227063,0.258247,0.239966
129,10.869867,0.328125,0.181250,0.146875,0.140908,0.091708,0.135378,0.000000,0.058473,0.215200,0.227280,0.258761,0.240286
130,9.202328,0.271875,0.153125,0.121875,0.140031,0.091369,0.133761,0.000000,0.057318,0.215371,0.227566,0.259168,0.240578
131,10.376379,0.334375,0.187500,0.125000,0.140385,0.091144,0.134676,0.000000,0.056287,0.215427,0.227734,0.259679,0.240873
132,9.444845,0.265625,0.159375,0.121875,0.140049,0.090754,0.133547,0.000000,0.055135,0.215590,0.227972,0.260129,0.241174
133,8.312946,0.300000,0.150000,0.100000,0.139371,0.089965,0.132763,0.000000,0.054168,0.215709,0.228157,0.260532,0.241434
134,11.170461,0.287500,0.193750,0.140625,0.139524,0.089764,0.132610,0.000000,0.052707,0.215924,0.228515,0.261045,0.241809
135,10.531350,0.296875,0.178125,0.137500,0.139575,0.090043,0.132954,0.000000,0.051539,0.216018,0.228746,0.261570,0.242127
136,9.350858,0.271875,0.159375,0.118750,0.139503,0.090127,0.132186,0.000000,0.050419,0.216136,0.228989,0.262025,0.242430
137,10.019324,0.284375,0.168750,0.131250,0.139290,0.089906,0.132252,0.000000,0.049151,0.216341,0.229278,0.262479,0.242751
138,10.836228,0.334375,0.184375,0.140625,0.139011,0.090055,0.131277,0.000000,0.047899,0.216465,0.229546,0.263011,0.243078
139,9.473213,0.278125,0.162500,0.118750,0.138538,0.089545,0.133417,0.000000,0.046629,0.216698,0.229846,0.263435,0.243391
140,10.143798,0.275000,0.175000,0.128125,0.138688,0.089267,0.133090,0.000000,0.045375,0.216916,0.230118,0.263877,0.243714
141,10.325372,0.290625,0.171875,0.137500,0.138602,0.089249,0.134282,0.000000,0.044002,0.217135,0.230428,0.264366,0.244069
142,12.359969,0.293750,0.209375,0.162500,0.139654,0.090193,0.135801,0.000000,0.042530,0.217311,0.230732,0.264958,0.244469
143,9.808129,0.290625,0.171875,0.121875,0.139838,0.090031,0.135199,0.000000,0.041356,0.217448,0.230953,0.265445,0.244798
144,10.898201,0.287500,0.193750,0.131250,0.140368,0.089604,0.136071,0.000000,0.040038,0.217651,0.231245,0.265922,0.245143
145,9.811071,0.303125,0.168750,0.125000,0.140095,0.089513,0.137570,0.000000,0.038819,0.217828,0.231528,0.266355,0.245470
146,8.712562,0.265625,0.146875,0.118750,0.139686,0.089422,0.135679,0.000000,0.037653,0.218030,0.231788,0.266761,0.245768
147,12.953808,0.303125,0.221875,0.171875,0.140706,0.089896,0.135967,0.000000,0.035922,0.218369,0.232206,0.267304,0.246200
148,9.856447,0.278125,0.165625,0.134375,0.140708,0.090314,0.133706,0.000000,0.034881,0.218471,0.232407,0.267747,0.246495
149,11.604796,0.303125,0.196875,0.150000,0.140879,0.090775,0.134609,0.000000,0.033467,0.218681,0.232707,0.268275,0.246871
150,9.760992,0.287500,0.178125,0.115625,0.141044,0.090212,0.135497,0.000000,0.032303,0.218868,0.232933,0.268713,0.247183
151,10.362221,0.300000,0.175000,0.143750,0.141130,0.090861,0.134984,0.000000,0.031107,0.219030,0.233150,0.269200,0.247513
152,9.692728,0.275000,0.162500,0.128125,0.140897,0.090956,0.135099,0.000000,0.030037,0.219158,0.233363,0.269638,0.247805
153,10.594617,0.287500,0.175000,0.143750,0.140710,0.091075,0.135304,0.000000,0.028784,0.219348,0.233619,0.270109,0.248141
154,10.923595,0.306250,0.190625,0.137500,0.140994,0.090997,0.133214,0.000000,0.027507,0.219486,0.233863,0.270647,0.248496
155,7.825198,0.275000,0.140625,0.093750,0.140142,0.089950,0.132143,0.000000,0.026608,0.219632,0.234046,0.270972,0.248742
156,10.351785,0.271875,0.178125,0.137500,0.140565,0.090307,0.132124,0.000000,0.025437,0.219747,0.234265,0.271478,0.249073
157,11.991850,0.328125,0.209375,0.153125,0.141547,0.091117,0.133284,0.000000,0.024296,0.219747,0.234428,0.272103,0.249425
158,9.515363,0.293750,0.168750,0.112500,0.141282,0.090293,0.135410,0.000000,0.023190,0.219893,0.234680,0.272510,0.249727
159,9.650928,0.275000,0.165625,0.128125,0.140927,0.090137,0.131824,0.000000,0.022035,0.220014,0.234964,0.272951,0.250037
160,12.727475,0.309375,0.212500,0.171875,0.141532,0.090906,0.132596,0.000000,0.020539,0.220183,0.235326,0.273512,0.250439
161,8.401747,0.275000,0.146875,0.106250,0.141102,0.090564,0.130872,0.000000,0.019695,0.220216,0.235511,0.273890,0.250687
162,10.446288,0.309375,0.175000,0.140625,0.140849,0.091004,0.131734,0.000000,0.018502,0.220340,0.235800,0.274344,0.251014
163,8.466251,0.275000,0.153125,0.103125,0.140562,0.090099,0.132094,0.000000,0.017513,0.220454,0.236035,0.274720,0.251279
164,8.760768,0.271875,0.150000,0.115625,0.140072,0.089973,0.131764,0.000000,0.016522,0.220546,0.236269,0.275115,0.251547
165,10.058966,0.275000,0.178125,0.128125,0.140424,0.090029,0.131659,0.000000,0.015375,0.220686,0.236548,0.275538,0.251853
166,11.162611,0.303125,0.193750,0.146875,0.140887,0.090289,0.130886,0.000000,0.014083,0.220841,0.236843,0.276033,0.252200
167,8.714043,0.278125,0.150000,0.112500,0.139956,0.089688,0.131296,0.000000,0.012914,0.221031,0.237124,0.276435,0.252496
168,10.122383,0.290625,0.165625,0.140625,0.139789,0.090392,0.132476,0.000000,0.011708,0.221162,0.237381,0.276926,0.252822
169,10.982084,0.331250,0.187500,0.146875,0.140132,0.091058,0.133024,0.000000,0.010550,0.221230,0.237625,0.277445,0.253150
170,9.182625,0.306250,0.162500,0.112500,0.139601,0.090453,0.132851,0.000000,0.009425,0.221401,0.237882,0.277844,0.253448
171,11.777471,0.290625,0.193750,0.162500,0.139904,0.090965,0.132491,0.000000,0.007932,0.221585,0.238204,0.278439,0.253840
172,10.501152,0.296875,0.181250,0.131250,0.139941,0.090758,0.134246,0.000000,0.006651,0.221745,0.238474,0.278954,0.254176
173,11.003235,0.303125,0.187500,0.146875,0.140182,0.091233,0.134727,0.000000,0.005372,0.221910,0.238730,0.279464,0.254522
174,11.830580,0.337500,0.190625,0.165625,0.140429,0.092360,0.135680,0.000000,0.004035,0.222060,0.238977,0.280036,0.254892
175,9.713352,0.281250,0.162500,0.128125,0.140170,0.092112,0.136773,0.000000,0.002767,0.222280,0.239250,0.280479,0.255224
176,11.761533,0.309375,0.203125,0.150000,0.140794,0.092199,0.137470,0.000000,0.001342,0.222488,0.239529,0.281038,0.255603
177,10.330240,0.306250,0.187500,0.121875,0.141090,0.091727,0.138273,0.000000,0.000156,0.222615,0.239761,0.281536,0.255933
178,8.246964,0.259375,0.143750,0.103125,0.140503,0.091117,0.139507,0.000000,0.000000,0.222523,0.239741,0.281736,0.256000
179,9.129671,0.300000,0.168750,0.106250,0.140262,0.090391,0.139719,0.000000,0.000000,0.222382,0.239679,0.281904,0.256036
180,10.582715,0.284375,0.187500,0.128125,0.140408,0.090066,0.140414,0.000000,0.000000,0.222267,0.239635,0.282038,0.256060
181,9.754146,0.271875,0.175000,0.118750,0.140650,0.089904,0.139558,0.000000,0.000000,0.222110,0.239566,0.282223,0.256101
182,8.671496,0.265625,0.159375,0.100000,0.140317,0.089012,0.139515,0.000000,0.000000,0.222027,0.239524,0.282330,0.256119
183,12.347259,0.309375,0.212500,0.156250,0.141421,0.089613,0.141060,0.000000,0.000000,0.221854,0.239396,0.282584,0.256167
184,11.033512,0.256250,0.181250,0.150000,0.141714,0.090201,0.139891,0.000000,0.000000,0.221733,0.239292,0.282779,0.256196
185,10.173461,0.275000,0.175000,0.128125,0.141779,0.090088,0.141094,0.000000,0.000000,0.221595,0.239210,0.282971,0.256223
186,9.505396,0.281250,0.165625,0.118750,0.141450,0.089659,0.141396,0.000000,0.000000,0.221520,0.239163,0.283084,0.256233
187,10.062176,0.296875,0.171875,0.131250,0.141438,0.090085,0.140837,0.000000,0.000000,0.221367,0.239076,0.283280,0.256277
188,10.696439,0.300000,0.181250,0.137500,0.141273,0.090036,0.141224,0.000000,0.000000,0.221265,0.238975,0.283466,0.256293
