round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,7.307378,0.253125,0.146875,0.081250,0.107338,0.054571,0.024971,0.167028,0.167039,0.166483,0.166483,0.166483,0.166483
2,8.941361,0.315625,0.181250,0.096875,0.114366,0.059032,0.041908,0.166395,0.166793,0.166817,0.166400,0.166661,0.166933
3,7.333174,0.287500,0.143750,0.087500,0.117513,0.062115,0.050090,0.165665,0.166524,0.167064,0.166714,0.166737,0.167296
4,7.721623,0.290625,0.153125,0.087500,0.120503,0.064561,0.059030,0.164826,0.166230,0.167264,0.166938,0.167112,0.167630
5,7.128302,0.300000,0.143750,0.078125,0.122186,0.066092,0.066065,0.164014,0.165903,0.167467,0.167209,0.167462,0.167945
6,8.903658,0.303125,0.162500,0.109375,0.124416,0.068715,0.071650,0.163200,0.165400,0.167678,0.167421,0.167995,0.168306
7,7.922800,0.303125,0.162500,0.081250,0.126019,0.069676,0.077361,0.162300,0.165017,0.167882,0.167683,0.168466,0.168652
8,6.746688,0.290625,0.131250,0.078125,0.126737,0.070767,0.081881,0.161621,0.164733,0.167986,0.167785,0.168963,0.168912
9,9.647859,0.271875,0.171875,0.125000,0.128438,0.073041,0.085564,0.160277,0.164214,0.168339,0.168128,0.169639,0.169402
10,7.263069,0.253125,0.153125,0.071875,0.130026,0.073332,0.088664,0.159553,0.163908,0.168449,0.168250,0.170152,0.169688
11,10.162035,0.296875,0.184375,0.128125,0.131724,0.075334,0.091667,0.158430,0.163371,0.168696,0.168520,0.170857,0.170125
12,9.113779,0.296875,0.175000,0.106250,0.133028,0.076468,0.094393,0.157340,0.162921,0.168915,0.168787,0.171505,0.170533
13,8.836661,0.281250,0.159375,0.109375,0.133512,0.077511,0.098988,0.156279,0.162420,0.169174,0.169073,0.172112,0.170942
14,8.702768,0.284375,0.168750,0.100000,0.133990,0.077685,0.098892,0.155123,0.161872,0.169514,0.169414,0.172689,0.171387
15,9.942889,0.290625,0.181250,0.131250,0.134811,0.078993,0.098529,0.153858,0.161270,0.169851,0.169762,0.173389,0.171871
16,8.407809,0.296875,0.162500,0.096875,0.135195,0.079043,0.101130,0.152636,0.160840,0.170160,0.170079,0.173980,0.172305
17,7.716343,0.278125,0.140625,0.096875,0.134617,0.079189,0.103997,0.151510,0.160355,0.170483,0.170405,0.174525,0.172722
18,9.711183,0.271875,0.175000,0.125000,0.135467,0.080260,0.105229,0.150383,0.159733,0.170755,0.170705,0.175234,0.173191
19,10.130586,0.318750,0.193750,0.121875,0.136480,0.081045,0.105826,0.149264,0.159172,0.170957,0.171021,0.175943,0.173643
