round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,5.328253,0.293750,0.115625,0.053125,0.104882,0.052903,0.013116,0.166638,0.166948,0.166604,0.166604,0.166604,0.166604
2,8.565720,0.300000,0.168750,0.093750,0.110655,0.057060,0.019962,0.166507,0.167357,0.166464,0.166513,0.166528,0.166632
3,8.361437,0.303125,0.165625,0.093750,0.115019,0.060583,0.029246,0.166301,0.167704,0.166337,0.166446,0.166482,0.166730
4,6.309352,0.300000,0.125000,0.065625,0.116370,0.062068,0.037118,0.166108,0.167924,0.166232,0.166407,0.166463,0.166866
5,8.337970,0.287500,0.168750,0.093750,0.119390,0.064320,0.044676,0.165795,0.168191,0.166106,0.166360,0.166486,0.167061
6,8.809318,0.325000,0.184375,0.090625,0.122333,0.066055,0.051332,0.165457,0.168455,0.165963,0.166300,0.166562,0.167263
7,6.339214,0.275000,0.134375,0.062500,0.123082,0.066647,0.057303,0.165185,0.168634,0.165858,0.166258,0.166643,0.167423
8,8.955201,0.281250,0.187500,0.093750,0.125896,0.068024,0.063498,0.164819,0.168842,0.165698,0.166198,0.166791,0.167652
9,9.811901,0.309375,0.181250,0.115625,0.127910,0.070365,0.068205,0.164372,0.169067,0.165527,0.166139,0.166997,0.167899
10,8.213882,0.265625,0.143750,0.100000,0.128699,0.072017,0.072397,0.163959,0.169246,0.165400,0.166079,0.167208,0.168107
11,8.626310,0.312500,0.171875,0.090625,0.129736,0.072378,0.076671,0.163479,0.169388,0.165294,0.166027,0.167445,0.168367
12,7.493817,0.312500,0.159375,0.075000,0.130510,0.072708,0.079320,0.163084,0.169537,0.165174,0.165956,0.167698,0.168551
13,10.777446,0.315625,0.187500,0.128125,0.131699,0.074401,0.082249,0.162441,0.169681,0.165044,0.165880,0.168078,0.168876
14,8.067323,0.278125,0.150000,0.090625,0.131875,0.075111,0.085749,0.161962,0.169791,0.164948,0.165812,0.168387,0.169099
15,9.438378,0.290625,0.178125,0.103125,0.132673,0.075326,0.088740,0.161341,0.169875,0.164847,0.165761,0.168763,0.169414
16,9.768005,0.296875,0.153125,0.121875,0.132381,0.076588,0.091427,0.160680,0.169946,0.164752,0.165704,0.169183,0.169736
17,7.473272,0.271875,0.150000,0.081250,0.132511,0.076398,0.091163,0.160163,0.169995,0.164688,0.165661,0.169519,0.169976
18,9.756368,0.268750,0.162500,0.118750,0.133275,0.077667,0.093757,0.159545,0.170077,0.164585,0.165592,0.169942,0.170258
19,8.512361,0.281250,0.159375,0.096875,0.133704,0.078013,0.095653,0.158979,0.170147,0.164490,0.165523,0.170342,0.170518
20,8.533853,0.306250,0.156250,0.096875,0.133543,0.078224,0.095620,0.158406,0.170207,0.164393,0.165440,0.170775,0.170779
21,8.899895,0.271875,0.159375,0.103125,0.133782,0.078426,0.097398,0.157770,0.170234,0.164328,0.165373,0.171212,0.171083
22,9.505073,0.331250,0.187500,0.103125,0.134543,0.078907,0.099593,0.157162,0.170302,0.164218,0.165278,0.171686,0.171353
23,9.779976,0.287500,0.175000,0.115625,0.134943,0.079436,0.100046,0.156461,0.170338,0.164120,0.165189,0.172228,0.171664
24,8.894772,0.271875,0.165625,0.100000,0.135115,0.079586,0.103322,0.155832,0.170357,0.164050,0.165125,0.172687,0.171950
25,6.903333,0.259375,0.140625,0.071875,0.134541,0.078862,0.103238,0.155312,0.170363,0.163988,0.165087,0.173066,0.172184
26,8.760578,0.300000,0.162500,0.100000,0.134800,0.079302,0.106165,0.154713,0.170415,0.163867,0.165008,0.173564,0.172434
27,8.576227,0.271875,0.156250,0.100000,0.135241,0.079931,0.105896,0.154135,0.170476,0.163735,0.164915,0.174073,0.172665
28,10.432189,0.325000,0.206250,0.112500,0.136481,0.080036,0.107414,0.153420,0.170519,0.163584,0.164809,0.174690,0.172978
29,7.611600,0.306250,0.150000,0.081250,0.135985,0.079602,0.107478,0.152878,0.170548,0.163479,0.164740,0.175142,0.173214
30,8.265034,0.293750,0.156250,0.093750,0.136034,0.079713,0.108318,0.152328,0.170591,0.163357,0.164658,0.175606,0.173460
31,8.334837,0.265625,0.178125,0.084375,0.136811,0.079167,0.108435,0.151728,0.170627,0.163246,0.164565,0.176119,0.173715
32,10.868558,0.321875,0.196875,0.125000,0.137788,0.080264,0.110623,0.151026,0.170707,0.163059,0.164438,0.176761,0.174009
33,8.565845,0.271875,0.150000,0.100000,0.137272,0.080223,0.108611,0.150370,0.170718,0.162954,0.164362,0.177296,0.174299
34,7.726957,0.303125,0.146875,0.084375,0.136669,0.079906,0.110506,0.149817,0.170726,0.162864,0.164288,0.177760,0.174544
35,9.176934,0.306250,0.178125,0.100000,0.136927,0.079834,0.110371,0.149145,0.170754,0.162741,0.164181,0.178350,0.174830
36,6.682126,0.281250,0.137500,0.068750,0.136285,0.079119,0.110798,0.148648,0.170766,0.162662,0.164116,0.178761,0.175046
37,8.703543,0.296875,0.162500,0.100000,0.136223,0.079412,0.110921,0.148026,0.170812,0.162528,0.164012,0.179317,0.175305
38,8.104321,0.284375,0.156250,0.087500,0.136339,0.079258,0.111420,0.147452,0.170862,0.162395,0.163897,0.179859,0.175535
39,8.282793,0.300000,0.153125,0.093750,0.136162,0.079414,0.111424,0.146854,0.170909,0.162273,0.163792,0.180394,0.175779
40,7.413617,0.240625,0.143750,0.081250,0.135984,0.079072,0.110579,0.146323,0.170919,0.162170,0.163689,0.180891,0.176009
41,8.699751,0.318750,0.168750,0.096875,0.135842,0.079041,0.109730,0.145677,0.170954,0.162051,0.163577,0.181458,0.176283
42,8.095398,0.278125,0.153125,0.090625,0.135760,0.078938,0.109857,0.145086,0.170981,0.161943,0.163477,0.181970,0.176542
43,8.549367,0.293750,0.156250,0.100000,0.136275,0.079822,0.110398,0.144557,0.171065,0.161794,0.163350,0.182488,0.176747
44,8.805969,0.315625,0.159375,0.100000,0.136142,0.080003,0.111614,0.143919,0.171101,0.161676,0.163216,0.183083,0.177005
45,9.257504,0.300000,0.171875,0.106250,0.136344,0.080231,0.111655,0.143225,0.171140,0.161562,0.163076,0.183710,0.177286
46,10.265051,0.312500,0.178125,0.121875,0.136534,0.081010,0.112150,0.142474,0.171187,0.161430,0.162928,0.184382,0.177597
47,8.545955,0.293750,0.168750,0.090625,0.136787,0.080836,0.112496,0.141855,0.171224,0.161321,0.162796,0.184960,0.177844
48,8.620564,0.296875,0.171875,0.093750,0.136985,0.080479,0.113109,0.141198,0.171240,0.161221,0.162682,0.185539,0.178120
49,8.710026,0.259375,0.140625,0.106250,0.136452,0.080858,0.114110,0.140569,0.171238,0.161122,0.162578,0.186089,0.178405
50,7.464567,0.290625,0.137500,0.084375,0.135692,0.080763,0.114842,0.140028,0.171271,0.161021,0.162468,0.186588,0.178624
51,6.849935,0.268750,0.128125,0.078125,0.135167,0.080567,0.115125,0.139555,0.171308,0.160919,0.162360,0.187046,0.178812
52,9.256907,0.293750,0.181250,0.100000,0.136072,0.080651,0.116482,0.138918,0.171359,0.160781,0.162217,0.187655,0.179070
