round,avg_reward,avg_exam,avg_view,avg_like,global_ctr,global_lr,global_awt,w0_cos,w1_fresh,w2_lr,w3_ctr,w4_awt,w5_social
1,7.425245,0.287500,0.153125,0.078125,0.107453,0.054357,0.021629,0.169214,0.168652,0.165534,0.165534,0.165534,0.165534
2,8.167006,0.290625,0.146875,0.093750,0.112549,0.058689,0.031066,0.168334,0.165464,0.168708,0.164809,0.163842,0.168843
3,8.383190,0.290625,0.143750,0.100000,0.115830,0.062367,0.040278,0.160925,0.158563,0.174534,0.168900,0.163814,0.173264
4,7.481935,0.287500,0.146875,0.081250,0.118888,0.064480,0.048877,0.151422,0.153734,0.179355,0.172792,0.165289,0.177408
5,8.507510,0.275000,0.168750,0.090625,0.121929,0.066077,0.054183,0.137098,0.145547,0.188772,0.178763,0.166161,0.183660
6,8.181300,0.296875,0.168750,0.084375,0.124263,0.067189,0.061533,0.127596,0.136666,0.196659,0.184476,0.166096,0.188509
7,9.222660,0.271875,0.159375,0.109375,0.126230,0.069518,0.067639,0.118965,0.129539,0.202424,0.189203,0.166956,0.192913
8,8.685367,0.318750,0.171875,0.093750,0.127701,0.070741,0.072013,0.110699,0.122721,0.208375,0.194284,0.166933,0.196988
9,8.098138,0.287500,0.162500,0.087500,0.129072,0.071606,0.077159,0.100049,0.117347,0.214487,0.199609,0.167581,0.200927
10,7.482739,0.268750,0.143750,0.081250,0.129574,0.072128,0.079971,0.095169,0.111962,0.218365,0.204371,0.166431,0.203702
11,6.199070,0.246875,0.121875,0.065625,0.129383,0.072098,0.084714,0.089859,0.107379,0.222828,0.208429,0.165395,0.206110
12,6.749902,0.281250,0.131250,0.071875,0.129552,0.072536,0.088367,0.083244,0.104372,0.226719,0.211659,0.165554,0.208453
13,10.533352,0.318750,0.190625,0.118750,0.131275,0.074191,0.091433,0.073272,0.098569,0.233958,0.217041,0.164945,0.212215
14,11.443486,0.287500,0.190625,0.140625,0.132804,0.076138,0.094809,0.052834,0.092002,0.246054,0.226072,0.164609,0.218429
15,8.334551,0.296875,0.178125,0.084375,0.133683,0.075909,0.096562,0.041049,0.088198,0.253424,0.231704,0.163397,0.222228
16,8.533745,0.293750,0.165625,0.093750,0.134014,0.075985,0.099519,0.026198,0.082932,0.263244,0.239124,0.161570,0.226931
17,7.701580,0.265625,0.143750,0.084375,0.133998,0.076060,0.102795,0.021089,0.077303,0.270309,0.243760,0.158156,0.229383
