round,query,prec10
71,car,1.0
72,cat,1.0
72,dog,1.0
72,plane,1.0
72,clothes,1.0
72,car,1.0
73,cat,1.0
73,dog,1.0
73,plane,1.0
73,clothes,1.0
73,car,1.0
74,cat,1.0
74,dog,1.0
74,plane,1.0
74,clothes,1.0
74,car,1.0
75,cat,1.0
75,dog,1.0
75,plane,1.0
75,clothes,1.0
75,car,1.0
76,cat,1.0
76,dog,1.0
76,plane,1.0
76,clothes,1.0
76,car,1.0
77,cat,1.0
77,dog,1.0
77,plane,1.0
77,clothes,1.0
77,car,1.0
78,cat,1.0
78,dog,1.0
78,plane,1.0
78,clothes,1.0
78,car,1.0
79,cat,1.0
79,dog,1.0
79,plane,1.0
79,clothes,1.0
79,car,1.0
80,cat,1.0
80,dog,1.0
80,plane,1.0
80,clothes,1.0
80,car,1.0
81,cat,1.0
81,dog,1.0
81,plane,1.0
81,clothes,1.0
81,car,1.0
82,cat,1.0
82,dog,1.0
82,plane,1.0
82,clothes,1.0
82,car,1.0
83,cat,1.0
83,dog,1.0
83,plane,1.0
83,clothes,1.0
83,car,1.0
84,cat,1.0
84,dog,1.0
84,plane,1.0
84,clothes,1.0
84,car,1.0
85,cat,1.0
85,dog,1.0
85,plane,1.0
85,clothes,1.0
85,car,1.0
86,cat,1.0
86,dog,1.0
86,plane,1.0
86,clothes,1.0
86,car,1.0
87,cat,1.0
87,dog,1.0
87,plane,1.0
87,clothes,1.0
87,car,1.0
88,cat,1.0
88,dog,1.0
88,plane,1.0
88,clothes,1.0
88,car,1.0
89,cat,1.0
89,dog,1.0
89,plane,1.0
89,clothes,1.0
89,car,1.0
90,cat,1.0
90,dog,1.0
90,plane,1.0
90,clothes,1.0
90,car,1.0
91,cat,1.0
91,dog,1.0
91,plane,1.0
91,clothes,1.0
91,car,1.0
92,cat,1.0
92,dog,1.0
92,plane,1.0
92,clothes,1.0
92,car,1.0
93,cat,1.0
93,dog,1.0
93,plane,1.0
93,clothes,1.0
93,car,1.0
94,cat,1.0
94,dog,1.0
94,plane,1.0
94,clothes,1.0
94,car,1.0
95,cat,1.0
95,dog,1.0
95,plane,1.0
95,clothes,1.0
95,car,1.0
96,cat,1.0
96,dog,1.0
96,plane,1.0
96,clothes,1.0
96,car,1.0
97,cat,1.0
97,dog,1.0
97,plane,1.0
97,clothes,1.0
97,car,1.0
98,cat,1.0
98,dog,1.0
98,plane,1.0
98,clothes,1.0
98,car,1.0
99,cat,1.0
99,dog,1.0
99,plane,1.0
99,clothes,1.0
99,car,1.0
100,cat,1.0
100,dog,1.0
100,plane,1.0
100,clothes,1.0
100,car,1.0
101,cat,1.0
101,dog,1.0
101,plane,1.0
101,clothes,1.0
101,car,1.0
102,cat,1.0
102,dog,1.0
102,plane,1.0
102,clothes,1.0
102,car,1.0
103,cat,1.0
103,dog,1.0
103,plane,1.0
103,clothes,1.0
103,car,1.0
104,cat,1.0
104,dog,1.0
104,plane,1.0
104,clothes,1.0
104,car,1.0
105,cat,1.0
105,dog,1.0
105,plane,1.0
105,clothes,1.0
105,car,1.0
106,cat,1.0
106,dog,1.0
106,plane,1.0
106,clothes,1.0
106,car,1.0
107,cat,1.0
107,dog,1.0
107,plane,1.0
107,clothes,1.0
107,car,1.0
108,cat,1.0
108,dog,1.0
108,plane,1.0
108,clothes,1.0
108,car,1.0
109,cat,1.0
109,dog,1.0
109,plane,1.0
109,clothes,1.0
109,car,1.0
110,cat,1.0
110,dog,1.0
110,plane,1.0
110,clothes,1.0
110,car,1.0
111,cat,1.0
111,dog,1.0
111,plane,1.0
111,clothes,1.0
111,car,1.0
112,cat,1.0
112,dog,1.0
112,plane,1.0
112,clothes,1.0
112,car,1.0
113,cat,1.0
113,dog,1.0
113,plane,1.0
113,clothes,1.0
113,car,1.0
114,cat,1.0
114,dog,1.0
114,plane,1.0
114,clothes,1.0
114,car,1.0
115,cat,1.0
115,dog,1.0
115,plane,1.0
115,clothes,1.0
115,car,1.0
116,cat,1.0
116,dog,1.0
116,plane,1.0
116,clothes,1.0
116,car,1.0
117,cat,1.0
117,dog,1.0
117,plane,1.0
117,clothes,1.0
117,car,1.0
118,cat,1.0
118,dog,1.0
118,plane,1.0
118,clothes,1.0
118,car,1.0
119,cat,1.0
119,dog,1.0
119,plane,1.0
119,clothes,1.0
119,car,1.0
120,cat,1.0
120,dog,1.0
120,plane,1.0
120,clothes,1.0
120,car,1.0
121,cat,1.0
121,dog,1.0
121,plane,1.0
121,clothes,1.0
121,car,1.0
122,cat,1.0
122,dog,1.0
122,plane,1.0
122,clothes,1.0
122,car,1.0
123,cat,1.0
123,dog,1.0
123,plane,1.0
123,clothes,1.0
123,car,1.0
124,cat,1.0
124,dog,1.0
124,plane,1.0
124,clothes,1.0
124,car,1.0
125,cat,1.0
125,dog,1.0
125,plane,1.0
125,clothes,1.0
125,car,1.0
126,cat,1.0
126,dog,1.0
126,plane,1.0
126,clothes,1.0
126,car,1.0
127,cat,1.0
127,dog,1.0
127,plane,1.0
127,clothes,1.0
127,car,1.0
128,cat,1.0
128,dog,1.0
128,plane,1.0
128,clothes,1.0
128,car,1.0
129,cat,1.0
129,dog,1.0
129,plane,1.0
129,clothes,1.0
129,car,1.0
130,cat,1.0
130,dog,1.0
130,plane,1.0
130,clothes,1.0
130,car,1.0
131,cat,1.0
131,dog,1.0
131,plane,1.0
131,clothes,1.0
131,car,1.0
132,cat,1.0
132,dog,1.0
132,plane,1.0
132,clothes,1.0
132,car,1.0
133,cat,1.0
133,dog,1.0
133,plane,1.0
133,clothes,1.0
133,car,1.0
134,cat,1.0
134,dog,1.0
134,plane,1.0
134,clothes,1.0
134,car,1.0
135,cat,1.0
135,dog,1.0
135,plane,1.0
135,clothes,1.0
135,car,1.0
136,cat,1.0
136,dog,1.0
136,plane,1.0
136,clothes,1.0
136,car,1.0
137,cat,1.0
137,dog,1.0
137,plane,1.0
137,clothes,1.0
137,car,1.0
138,cat,1.0
138,dog,1.0
138,plane,1.0
138,clothes,1.0
138,car,1.0
139,cat,1.0
139,dog,1.0
139,plane,1.0
139,clothes,1.0
139,car,1.0
140,cat,1.0
140,dog,1.0
140,plane,1.0
140,clothes,1.0
140,car,1.0
141,cat,1.0
141,dog,1.0
141,plane,1.0
141,clothes,1.0
141,car,1.0
142,cat,1.0
142,dog,1.0
142,plane,1.0
142,clothes,1.0
142,car,1.0
143,cat,1.0
143,dog,1.0
143,plane,1.0
143,clothes,1.0
143,car,1.0
144,cat,1.0
144,dog,1.0
144,plane,1.0
144,clothes,1.0
144,car,1.0
145,cat,1.0
145,dog,1.0
145,plane,1.0
145,clothes,1.0
145,car,1.0
146,cat,1.0
146,dog,1.0
146,plane,1.0
146,clothes,1.0
146,car,1.0
147,cat,1.0
147,dog,1.0
147,plane,1.0
147,clothes,1.0
147,car,1.0
148,cat,1.0
148,dog,1.0
148,plane,1.0
148,clothes,1.0
148,car,1.0
149,cat,1.0
149,dog,1.0
149,plane,1.0
149,clothes,1.0
149,car,1.0
150,cat,1.0
150,dog,1.0
150,plane,1.0
150,clothes,1.0
150,car,1.0
151,cat,1.0
151,dog,1.0
151,plane,1.0
151,clothes,1.0
151,car,1.0
152,cat,1.0
152,dog,1.0
152,plane,1.0
152,clothes,1.0
152,car,1.0
153,cat,1.0
153,dog,1.0
153,plane,1.0
153,clothes,1.0
153,car,1.0
154,cat,1.0
154,dog,1.0
154,plane,1.0
154,clothes,1.0
154,car,1.0
155,cat,1.0
155,dog,1.0
155,plane,1.0
155,clothes,1.0
155,car,1.0
156,cat,1.0
156,dog,1.0
156,plane,1.0
156,clothes,1.0
156,car,1.0
157,cat,1.0
157,dog,1.0
157,plane,1.0
157,clothes,1.0
157,car,1.0
158,cat,1.0
158,dog,1.0
158,plane,1.0
158,clothes,1.0
158,car,1.0
159,cat,1.0
159,dog,1.0
159,plane,1.0
159,clothes,1.0
159,car,1.0
160,cat,1.0
160,dog,1.0
160,plane,1.0
160,clothes,1.0
160,car,1.0
161,cat,1.0
161,dog,1.0
161,plane,1.0
161,clothes,1.0
161,car,1.0
162,cat,1.0
162,dog,1.0
162,plane,1.0
162,clothes,1.0
162,car,1.0
163,cat,1.0
163,dog,1.0
163,plane,1.0
163,clothes,1.0
163,car,1.0
164,cat,1.0
164,dog,1.0
164,plane,1.0
164,clothes,1.0
164,car,1.0
165,cat,1.0
165,dog,1.0
165,plane,1.0
165,clothes,1.0
165,car,1.0
166,cat,1.0
166,dog,1.0
166,plane,1.0
166,clothes,1.0
166,car,1.0
167,cat,1.0
167,dog,1.0
167,plane,1.0
167,clothes,1.0
167,car,1.0
168,cat,1.0
168,dog,1.0
168,plane,1.0
168,clothes,1.0
168,car,1.0
169,cat,1.0
169,dog,1.0
169,plane,1.0
169,clothes,1.0
169,car,1.0
170,cat,1.0
170,dog,1.0
170,plane,1.0
170,clothes,1.0
170,car,1.0
171,cat,1.0
171,dog,1.0
171,plane,1.0
171,clothes,1.0
171,car,1.0
172,cat,1.0
172,dog,1.0
172,plane,1.0
172,clothes,1.0
172,car,1.0
173,cat,1.0
173,dog,1.0
173,plane,1.0
173,clothes,1.0
173,car,1.0
174,cat,1.0
174,dog,1.0
174,plane,1.0
174,clothes,1.0
174,car,1.0
175,cat,1.0
175,dog,1.0
175,plane,1.0
175,clothes,1.0
175,car,1.0
176,cat,1.0
176,dog,1.0
176,plane,1.0
176,clothes,1.0
176,car,1.0
177,cat,1.0
177,dog,1.0
177,plane,1.0
177,clothes,1.0
177,car,1.0
178,cat,1.0
178,dog,1.0
178,plane,1.0
178,clothes,1.0
178,car,1.0
179,cat,1.0
179,dog,1.0
179,plane,1.0
179,clothes,1.0
179,car,1.0
180,cat,1.0
180,dog,1.0
180,plane,1.0
180,clothes,1.0
180,car,1.0
181,cat,1.0
181,dog,1.0
181,plane,1.0
181,clothes,1.0
181,car,1.0
182,cat,1.0
182,dog,1.0
182,plane,1.0
182,clothes,1.0
182,car,1.0
183,cat,1.0
183,dog,1.0
183,plane,1.0
183,clothes,1.0
183,car,1.0
184,cat,1.0
184,dog,1.0
184,plane,1.0
184,clothes,1.0
184,car,1.0
185,cat,1.0
185,dog,1.0
185,plane,1.0
185,clothes,1.0
185,car,1.0
186,cat,1.0
186,dog,1.0
186,plane,1.0
186,clothes,1.0
186,car,1.0
187,cat,1.0
187,dog,1.0
187,plane,1.0
187,clothes,1.0
187,car,1.0
188,cat,1.0
188,dog,1.0
188,plane,1.0
188,clothes,1.0
188,car,1.0
189,cat,1.0
189,dog,1.0
189,plane,1.0
189,clothes,1.0
189,car,1.0
190,cat,1.0
190,dog,1.0
190,plane,1.0
190,clothes,1.0
190,car,1.0
191,cat,1.0
191,dog,1.0
191,plane,1.0
191,clothes,1.0
191,car,1.0
192,cat,1.0
192,dog,1.0
192,plane,1.0
192,clothes,1.0
192,car,1.0
193,cat,1.0
193,dog,1.0
193,plane,1.0
193,clothes,1.0
193,car,1.0
194,cat,1.0
194,dog,1.0
194,plane,1.0
194,clothes,1.0
194,car,1.0
195,cat,1.0
195,dog,1.0
195,plane,1.0
195,clothes,1.0
195,car,1.0
196,cat,1.0
196,dog,1.0
196,plane,1.0
196,clothes,1.0
196,car,1.0
197,cat,1.0
197,dog,1.0
197,plane,1.0
197,clothes,1.0
197,car,1.0
198,cat,1.0
198,dog,1.0
198,plane,1.0
198,clothes,1.0
198,car,1.0
199,cat,1.0
199,dog,1.0
199,plane,1.0
199,clothes,1.0
199,car,1.0
200,cat,1.0
200,dog,1.0
200,plane,1.0
200,clothes,1.0
200,car,1.0
201,cat,1.0
201,dog,1.0
201,plane,1.0
201,clothes,1.0
201,car,1.0
202,cat,1.0
202,dog,1.0
202,plane,1.0
202,clothes,1.0
202,car,1.0
203,cat,1.0
203,dog,1.0
203,plane,1.0
203,clothes,1.0
203,car,1.0
204,cat,1.0
204,dog,1.0
204,plane,1.0
204,clothes,1.0
204,car,1.0
205,cat,1.0
205,dog,1.0
205,plane,1.0
205,clothes,1.0
205,car,1.0
206,cat,1.0
206,dog,1.0
206,plane,1.0
206,clothes,1.0
206,car,1.0
207,cat,1.0
