round,reward,w0,w1,w2,w3,w4,w5
1,6.088047433255378,0.2549443452915514,0.05357315471826584,0.1946377294772337,0.057730347395985794,0.22535141155848165,0.21376301155848165
2,6.121490324353073,0.25429764695437174,0.056649235968679795,0.19411138188850866,0.05757146833696552,0.22463251209504578,0.21273775475642842
3,6.211146938011761,0.2535362282463478,0.05922659885973768,0.19388402985314993,0.05758143079221125,0.22415182972213984,0.2116198825264136
4,5.260705265180857,0.25296235676056494,0.06110034114547192,0.19371053719765924,0.05763500896665733,0.22384695958103862,0.21074479634860802
5,5.212996080175789,0.2523668963931789,0.06261799771180108,0.19361917088956268,0.057738539602198845,0.22380957147613273,0.20984782392712584
6,5.41199832084334,0.25181755676752027,0.06392699289753068,0.1935832534614563,0.05785453225115024,0.22385282459029346,0.20896484003204907
7,4.944860489657414,0.25120795207931407,0.06481708443673925,0.1937053993253283,0.05800843248726656,0.22421354642004623,0.20804758525130565
8,6.186830114470701,0.25057481429792017,0.06571270341617502,0.19390486972817617,0.05817704244318338,0.22462533334767065,0.20700523676687468
9,5.905408892635196,0.2499210198097075,0.06636338146344817,0.19407780426854007,0.05835568212248185,0.22526336148050063,0.20601875085532176
10,5.623209216105949,0.24919291525412374,0.06668741332497169,0.19442251540764235,0.05855280404626323,0.2262102771716749,0.20493407479532416
11,6.214848675498934,0.2484501412167743,0.06694300399551807,0.1947387364683436,0.0587993461842929,0.22722497809048475,0.2038437940445865
12,5.705345262101704,0.247748430756936,0.0670182772937261,0.1951187523917254,0.05906491864839208,0.22823751329963765,0.20281210760958265
13,6.159057435299483,0.24701988393706112,0.06695732938156489,0.19551630740374146,0.05935694698950893,0.22944750150564547,0.2017020307824782
14,6.645429829779076,0.24617916598922893,0.06670411913694083,0.19606665891256503,0.059626002811945376,0.23097668519526965,0.20044736795405024
15,4.874766924285784,0.24557819068539283,0.06647386769517981,0.1964582715866829,0.05987679517289864,0.23208239730256394,0.19953047755728176
16,4.739603723748291,0.24495819150534193,0.06616172291696489,0.19686159589580163,0.06012898090409549,0.23327509337540875,0.1986144154023872
17,4.970268093557199,0.24435933783465716,0.06584036552522285,0.19723675392456863,0.060384787549093585,0.23444309643724076,0.1977356587292171
18,5.332551920443607,0.24365201761496877,0.0653452770419336,0.1977594996317775,0.060624204771634285,0.23591351592647913,0.19670548501320673
19,6.490144130030177,0.24296901932114492,0.06482961145432169,0.19824149527485765,0.060950674425001586,0.2373686530175982,0.19564054650707582
20,6.215488627343269,0.24222777636154294,0.06416849598355225,0.1988646946914398,0.061271733391254246,0.23897291154363692,0.1944943880285739
21,4.704121583225431,0.24159579913332005,0.0636332653338474,0.1993666720288396,0.06152437489685552,0.24028593860520334,0.19359395000193416
22,7.0064482156510035,0.24068691766665273,0.06271956569908167,0.20014250577407108,0.06183881293486436,0.24236813017267866,0.19224406775265152
23,5.952300363420696,0.23998478771078646,0.06198620873523738,0.20073459295223622,0.06215757647678658,0.2439799868664882,0.19115684725846518
24,5.551347649044363,0.2392517774551192,0.06122946466092115,0.20135899186632322,0.06246768731941192,0.24560482066252465,0.19008725803569984
25,5.318471383714935,0.23854819342474895,0.060530769253223655,0.20194476437483114,0.0627683034587742,0.2471005644324651,0.18910740505595702
26,5.719820201185623,0.23769630106045905,0.05960632399943726,0.20273765798334537,0.06305318637794508,0.2489980866191366,0.18790844395967674
27,6.4443073129789274,0.2369730101703739,0.05874454508762184,0.20338699449834927,0.06338124111692085,0.2507350465613675,0.1867791625653667
28,5.9368017052936946,0.2361245350182333,0.05777706558433897,0.20414300569784702,0.06367308662831656,0.25271306103962843,0.1855692460316357
29,5.018635182079731,0.23548204139604492,0.057045458702221045,0.20468589402148782,0.06391115375458924,0.2542487459135415,0.1846267062121154
30,4.01277852600871,0.2349694831722511,0.05644858111777053,0.2051257534249825,0.06412538720353227,0.25548677623459454,0.1838440188468691
31,5.5057602256958615,0.23423301335936123,0.05553080716759156,0.2057890214398924,0.06439544057567119,0.2573230937690493,0.18272862368843426
32,6.438457563096751,0.2333568675925967,0.05442573135500834,0.20659113915577926,0.0646489517096489,0.25955255739647465,0.18142475279049208
33,4.674990112851043,0.2326307275718614,0.0535732221003668,0.2072325602522847,0.06491340802632428,0.26125067890262177,0.18039940314654113
34,4.026420892291866,0.23210472703996501,0.05296616293406288,0.2076843869980844,0.06511238597178758,0.26250044899371466,0.17963188806238556
35,5.327389420817647,0.23143917540899941,0.052131090697577584,0.20829292305706873,0.06536551482639567,0.26413981442839735,0.1786314815815612
36,4.413163331808716,0.23089892007790203,0.051479184698324736,0.20875591331977636,0.06559186627540604,0.2654488104225624,0.17782530520602843
37,6.255267360546281,0.23008069673683312,0.050430300820066366,0.2095585634782453,0.06582820170196935,0.2674868276963135,0.1766154095665723
38,4.435950859968029,0.22939333177687699,0.05,0.2101465231340425,0.06595771449627337,0.26917878927723454,0.17568038358543858
39,4.4775140775670845,0.2288570472864961,0.05,0.21051064566801767,0.06613516843912526,0.27026101950636766,0.1748862472615791
