round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score,cum_views,cum_likes
10,0,0,0.139619,0.250000,0.586207,0.411765,0.563462,0.538864,0.083227,0.373456,17.0,7.0
10,1,0,0.247320,0.250000,0.675676,0.720000,0.673512,0.638660,0.087434,0.466024,25.0,18.0
10,2,0,0.039080,0.250000,0.500000,0.100000,0.455072,0.406288,0.089504,0.278791,10.0,1.0
10,3,0,0.724847,0.250000,0.000000,0.000000,0.000000,0.000000,0.078817,0.056747,0.0,0.0
10,4,0,0.368557,0.250000,0.431193,0.829787,0.749311,0.750916,0.083973,0.473620,47.0,39.0
10,5,0,0.268096,0.250000,0.625000,0.720000,0.600661,0.638660,0.080691,0.445792,25.0,18.0
10,6,0,0.150631,0.250000,0.521739,0.250000,0.577486,0.460413,0.093382,0.332271,12.0,3.0
10,7,0,0.568517,0.250000,0.632812,0.938272,0.876708,0.849036,0.084806,0.554240,81.0,76.0
10,8,0,0.168080,0.250000,0.000000,0.000000,0.000000,0.000000,0.078978,0.056788,0.0,0.0
10,9,0,0.311360,0.250000,0.557692,0.620690,0.673359,0.650364,0.082317,0.433889,29.0,18.0
10,10,1,0.490499,0.250000,0.525424,0.838710,0.845690,0.685693,0.070773,0.490433,31.0,26.0
10,11,1,0.199080,0.250000,0.470588,0.375000,0.551835,0.418668,0.079305,0.329859,8.0,3.0
10,12,1,0.612538,0.250000,0.583333,1.000000,0.935194,0.469352,0.067478,0.503578,7.0,7.0
10,13,1,0.080769,0.250000,0.463415,0.315789,0.511550,0.541662,0.082567,0.333079,19.0,6.0
10,14,1,0.448982,0.250000,0.631579,0.850000,0.790335,0.792012,0.074119,0.516437,60.0,51.0
10,15,1,0.251850,0.250000,0.409091,0.555556,0.654486,0.460413,0.071659,0.367818,9.0,5.0
10,16,1,0.071009,0.250000,0.562500,0.444444,0.430857,0.552390,0.077447,0.355444,18.0,8.0
10,17,1,0.225512,0.250000,0.636364,0.642857,0.644045,0.647517,0.076298,0.442604,28.0,18.0
10,18,1,0.023145,0.250000,0.000000,0.000000,0.000000,0.000000,0.079356,0.056883,0.0,0.0
10,19,1,0.378901,0.250000,0.407407,0.772727,0.699013,0.624387,0.076849,0.433055,22.0,17.0
10,20,2,0.154859,0.250000,0.645161,0.500000,0.591968,0.576444,0.112386,0.412836,20.0,10.0
10,21,2,0.496025,0.250000,0.624113,0.909091,0.855166,0.859366,0.105039,0.551911,88.0,80.0
10,22,2,0.753268,0.250000,0.000000,0.000000,0.000000,0.000000,0.056707,0.051204,0.0,0.0
10,23,2,0.075313,0.250000,0.478261,0.181818,0.382170,0.435616,0.056907,0.273155,11.0,2.0
10,24,2,0.346724,0.250000,0.647059,0.727273,0.738696,0.683411,0.109883,0.485048,33.0,24.0
10,25,2,0.118530,0.250000,0.666667,0.318182,0.525885,0.564866,0.109838,0.376222,22.0,7.0
10,26,2,0.401554,0.250000,0.561644,0.829268,0.790821,0.729112,0.115062,0.503761,41.0,34.0
10,27,2,0.428317,0.250000,0.584416,0.844444,0.797693,0.745541,0.117778,0.513636,45.0,38.0
10,28,2,0.226272,0.250000,0.705882,0.458333,0.581621,0.599314,0.077330,0.408680,24.0,11.0
10,29,2,0.109343,0.250000,0.448276,0.384615,0.498236,0.493526,0.024078,0.317312,13.0,5.0
10,30,3,0.108891,0.250000,0.000000,0.000000,0.000000,0.000000,0.032863,0.045226,0.0,0.0
10,31,3,0.559639,0.250000,0.610169,0.833333,0.863603,0.708863,0.047589,0.502625,36.0,30.0
10,32,3,0.161426,0.250000,0.000000,0.000000,0.000000,0.000000,0.037489,0.046386,0.0,0.0
10,33,3,0.041007,0.250000,0.588235,0.400000,0.397910,0.455750,0.059082,0.328459,10.0,4.0
10,34,3,0.306667,0.250000,0.581395,0.800000,0.675552,0.647517,0.068562,0.460968,25.0,20.0
10,35,3,0.482934,0.250000,0.536232,0.918919,0.845846,0.722040,0.063713,0.507882,37.0,34.0
10,36,3,0.444939,0.250000,0.581081,0.860465,0.820866,0.739980,0.048569,0.500867,43.0,37.0
10,37,3,0.300442,0.250000,0.633333,0.578947,0.724792,0.578662,0.047735,0.427161,19.0,11.0
10,38,3,0.255183,0.250000,0.545455,0.583333,0.683564,0.507834,0.053900,0.399403,12.0,7.0
10,39,3,0.542584,0.250000,0.716418,0.895833,0.858285,0.761156,0.069106,0.540359,48.0,43.0
10,40,4,0.357393,0.250000,0.700000,0.785714,0.736407,0.663889,0.081755,0.491435,28.0,22.0
10,41,4,0.440077,0.250000,0.566667,0.705882,0.788957,0.576444,0.081042,0.454100,17.0,12.0
10,42,4,0.374670,0.250000,0.741935,0.869565,0.757892,0.751670,0.063496,0.522217,46.0,40.0
10,43,4,0.072453,0.250000,0.703704,0.315789,0.430192,0.541662,0.093616,0.359390,19.0,6.0
10,44,4,0.146514,0.250000,0.566667,0.529412,0.542326,0.554964,0.067609,0.383637,17.0,9.0
10,45,4,0.031405,0.250000,0.000000,0.000000,0.000000,0.000000,0.052185,0.050071,0.0,0.0
10,46,4,0.216687,0.250000,0.000000,0.000000,0.000000,0.000000,0.060606,0.052182,0.0,0.0
10,47,4,0.446234,0.250000,0.661017,0.871795,0.800266,0.725615,0.064283,0.513165,39.0,34.0
