round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score
10,9,0,0.311360,0.250000,0.105959,0.055894,0.596498,0.025073,0.082317,0.175657
10,10,1,0.490499,0.250000,0.103657,0.053560,0.709141,0.016052,0.070773,0.187698
10,11,1,0.199080,0.250000,0.101556,0.051759,0.313034,0.007534,0.079305,0.128233
10,12,1,0.612538,0.250000,0.113010,0.062320,0.784455,0.047830,0.067478,0.205721
10,13,1,0.080769,0.250000,0.106535,0.051976,0.382083,0.016990,0.082567,0.141665
10,14,1,0.448982,0.250000,0.109693,0.059172,0.729485,0.037920,0.074119,0.196639
10,15,1,0.251850,0.250000,0.103448,0.052296,0.432213,0.012309,0.071659,0.145370
10,16,1,0.071009,0.250000,0.102627,0.049986,0.256564,0.005619,0.077447,0.118856
10,17,1,0.225512,0.250000,0.105291,0.054576,0.474515,0.020841,0.076298,0.154815
10,18,1,0.023145,0.250000,0.102658,0.050959,0.183924,0.007792,0.079356,0.108857
10,19,1,0.378901,0.250000,0.105387,0.053564,0.582626,0.018745,0.076849,0.170806
10,20,2,0.154859,0.250000,0.102094,0.051441,0.344916,0.007982,0.112386,0.141444
10,21,2,0.496025,0.250000,0.114023,0.061801,0.758347,0.048275,0.105039,0.211351
10,22,2,0.753268,0.250000,0.106679,0.057366,0.699158,0.029258,0.056707,0.185670
10,23,2,0.075313,0.250000,0.102095,0.052308,0.311116,0.009743,0.056907,0.122818
10,24,2,0.346724,0.250000,0.108046,0.058350,0.620974,0.032786,0.109883,0.188107
10,25,2,0.118530,0.250000,0.105493,0.052513,0.413978,0.016177,0.109838,0.153122
10,26,2,0.401554,0.250000,0.110871,0.060558,0.718202,0.042677,0.115062,0.206312
10,27,2,0.428317,0.250000,0.105802,0.054519,0.553414,0.021786,0.117778,0.177335
10,28,2,0.226272,0.250000,0.104840,0.053187,0.518293,0.016628,0.077330,0.160767
10,29,2,0.109343,0.250000,0.101143,0.050539,0.170390,0.004052,0.024078,0.092091
10,30,3,0.108891,0.250000,0.102216,0.050901,0.323742,0.006543,0.032863,0.118013
10,31,3,0.559639,0.250000,0.106449,0.057334,0.660873,0.028765,0.047589,0.177495
10,32,3,0.161426,0.250000,0.102611,0.049874,0.233092,0.005158,0.037489,0.105199
10,33,3,0.041007,0.250000,0.102351,0.050529,0.252339,0.006624,0.059082,0.113801
10,34,3,0.306667,0.250000,0.107407,0.052698,0.583470,0.020462,0.068562,0.169283
10,35,3,0.482934,0.250000,0.111585,0.061888,0.759239,0.045311,0.063713,0.200317
10,36,3,0.444939,0.250000,0.103518,0.053798,0.462853,0.015848,0.048569,0.144964
10,37,3,0.300442,0.250000,0.106078,0.055026,0.591091,0.023905,0.047735,0.165874
10,38,3,0.255183,0.250000,0.104451,0.053269,0.550803,0.016651,0.053900,0.159748
10,39,3,0.542584,0.250000,0.113244,0.062632,0.773804,0.049214,0.069106,0.204813
10,40,4,0.357393,0.250000,0.106272,0.054445,0.652853,0.022213,0.081755,0.183415
10,41,4,0.440077,0.250000,0.109441,0.058031,0.697630,0.034732,0.081042,0.192883
10,42,4,0.374670,0.250000,0.103351,0.052216,0.508946,0.011482,0.063496,0.154744
10,43,4,0.072453,0.250000,0.101168,0.051509,0.218677,0.006348,0.093616,0.117321
10,44,4,0.146514,0.250000,0.104178,0.051650,0.425893,0.012035,0.067609,0.143372
10,45,4,0.031405,0.250000,0.103237,0.050804,0.270845,0.008389,0.052185,0.115301
10,46,4,0.216687,0.250000,0.102223,0.050950,0.278587,0.007010,0.060606,0.118245
10,47,4,0.446234,0.250000,0.106951,0.057224,0.748283,0.030118,0.064283,0.195130
10,48,4,0.301519,0.250000,0.104924,0.054479,0.546829,0.019577,0.082171,0.166936
10,49,4,0.532519,0.250000,0.114116,0.063404,0.783949,0.051349,0.081131,0.209929
20,0,0,0.139619,0.062500,0.102747,0.051567,0.180661,0.010933,0.083227,0.082219
20,1,0,0.247320,0.062500,0.108915,0.054570,0.414451,0.026874,0.087434,0.122549
20,2,0,0.039080,0.062500,0.101275,0.050594,0.131240,0.004789,0.089504,0.075002
20,3,0,0.724847,0.062500,0.122485,0.075541,0.908623,0.084475,0.078817,0.209282
20,4,0,0.368557,0.062500,0.114446,0.064403,0.687301,0.056071,0.083973,0.169814
20,5,0,0.268096,0.062500,0.115210,0.055870,0.631299,0.039849,0.080691,0.156865
20,6,0,0.150631,0.062500,0.109627,0.056741,0.374897,0.034129,0.093382,0.119569
20,7,0,0.568517,0.062500,0.127069,0.076943,0.872013,0.091035,0.084806,0.207116
20,8,0,0.168080,0.062500,0.105085,0.052846,0.334098,0.017195,0.078978,0.105930
20,9,0,0.311360,0.062500,0.107570,0.055955,0.587172,0.029325,0.082317,0.147860
20,10,1,0.490499,0.062500,0.119610,0.070199,0.787658,0.072155,0.070773,0.185801
20,11,1,0.199080,0.062500,0.109403,0.056823,0.500009,0.033012,0.079305,0.134831
