round,query,prec10
71,car,0.8
72,cat,0.7
72,dog,0.8
72,plane,0.7
72,clothes,0.9
72,car,0.8
73,cat,0.7
73,dog,0.8
73,plane,0.7
73,clothes,0.9
73,car,0.8
74,cat,0.7
74,dog,0.8
74,plane,0.7
74,clothes,0.9
74,car,0.8
75,cat,0.7
75,dog,0.8
75,plane,0.7
75,clothes,0.9
75,car,0.8
76,cat,0.7
76,dog,0.8
76,plane,0.7
76,clothes,0.9
76,car,0.8
77,cat,0.7
77,dog,0.8
77,plane,0.7
77,clothes,0.9
77,car,0.8
78,cat,0.7
78,dog,0.8
78,plane,0.7
78,clothes,0.9
78,car,0.8
79,cat,0.7
79,dog,0.8
79,plane,0.7
79,clothes,0.9
79,car,0.8
80,cat,0.7
80,dog,0.8
80,plane,0.7
80,clothes,0.9
80,car,0.8
81,cat,0.7
81,dog,0.8
81,plane,0.7
81,clothes,0.9
81,car,0.8
82,cat,0.7
82,dog,0.8
82,plane,0.7
82,clothes,0.9
82,car,0.8
83,cat,0.7
83,dog,0.8
83,plane,0.7
83,clothes,0.9
83,car,0.8
84,cat,0.7
84,dog,0.8
84,plane,0.7
84,clothes,0.9
84,car,0.8
85,cat,0.7
85,dog,0.8
85,plane,0.7
85,clothes,0.9
85,car,0.8
86,cat,0.7
86,dog,0.8
86,plane,0.7
86,clothes,0.9
86,car,0.8
87,cat,0.7
87,dog,0.8
87,plane,0.7
87,clothes,0.9
87,car,0.8
88,cat,0.7
88,dog,0.8
88,plane,0.7
88,clothes,0.9
88,car,0.8
89,cat,0.7
89,dog,0.8
89,plane,0.7
89,clothes,0.9
89,car,0.8
90,cat,0.7
90,dog,0.8
90,plane,0.7
90,clothes,0.9
90,car,0.8
91,cat,0.7
91,dog,0.8
91,plane,0.7
91,clothes,0.9
91,car,0.8
92,cat,0.7
92,dog,0.8
92,plane,0.7
92,clothes,0.9
92,car,0.8
93,cat,0.7
93,dog,0.8
93,plane,0.7
93,clothes,0.9
93,car,0.8
94,cat,0.7
94,dog,0.8
94,plane,0.7
94,clothes,0.9
94,car,0.8
95,cat,0.7
95,dog,0.8
95,plane,0.7
95,clothes,0.9
95,car,0.8
96,cat,0.7
96,dog,0.8
96,plane,0.7
96,clothes,0.9
96,car,0.8
97,cat,0.7
97,dog,0.8
97,plane,0.7
97,clothes,0.9
97,car,0.8
98,cat,0.7
98,dog,0.8
98,plane,0.7
98,clothes,0.9
98,car,0.8
99,cat,0.7
99,dog,0.8
99,plane,0.7
99,clothes,0.9
99,car,0.8
100,cat,0.7
100,dog,0.8
100,plane,0.7
100,clothes,0.9
100,car,0.8
101,cat,0.7
101,dog,0.8
101,plane,0.7
101,clothes,0.9
101,car,0.8
102,cat,0.7
102,dog,0.8
102,plane,0.7
102,clothes,0.9
102,car,0.8
103,cat,0.7
103,dog,0.8
103,plane,0.7
103,clothes,0.9
103,car,0.8
104,cat,0.7
104,dog,0.8
104,plane,0.7
104,clothes,0.9
104,car,0.8
105,cat,0.7
105,dog,0.8
105,plane,0.7
105,clothes,0.9
105,car,0.8
106,cat,0.7
106,dog,0.8
106,plane,0.7
106,clothes,0.9
106,car,0.8
107,cat,0.7
107,dog,0.8
107,plane,0.7
107,clothes,0.9
107,car,0.8
108,cat,0.7
108,dog,0.8
108,plane,0.7
108,clothes,0.9
108,car,0.8
109,cat,0.7
109,dog,0.8
109,plane,0.7
109,clothes,0.9
109,car,0.8
110,cat,0.7
110,dog,0.8
110,plane,0.7
110,clothes,0.9
