round,reward,w0,w1,w2,w3,w4,w5
1,6.088047433255378,0.16655807337569228,0.1674037994429291,0.16652295036330117,0.16657662463512726,0.1664692760914751,0.1664692760914751
2,5.418244764443193,0.16644058761663189,0.16794781036175394,0.16644311474854684,0.16653541526950663,0.1663484351391623,0.16628463686439834
3,5.7783130312959425,0.1663063540610461,0.16842339936856926,0.16639724044086407,0.16652015151665628,0.16627300052345143,0.16607985408941286
4,5.492423917889815,0.16618383036817436,0.16879324974001267,0.16637647270355968,0.16651690782310063,0.16624190677226452,0.165887632592888
5,4.7955466148487655,0.16606511918161965,0.16904119735002476,0.1663954225668794,0.1665256876414315,0.16626981609625718,0.16570275716378757
6,6.510574934425759,0.16592238337173626,0.1693205580854894,0.1664205737528561,0.16652586874680772,0.1663338818031508,0.16547673423995962
7,4.13705889521218,0.16582673494356637,0.16945405499897975,0.16645239518427576,0.16653897114244165,0.16639749772396795,0.16533034600676852
8,5.566747654266417,0.16571002259625503,0.16958908322968538,0.16649230088175523,0.1665576419095764,0.166512825135441,0.16513812624728708
9,4.77255939335502,0.16559855811758165,0.16966124456458317,0.16655818120791543,0.16656893881398405,0.16664852245876977,0.16496455483716588
10,5.442363476096544,0.1654796653999816,0.16971193885209468,0.16661971235766718,0.16658859148931113,0.16682798055039477,0.16477211135055064
11,5.925415774442939,0.16535297567050888,0.16974279888718669,0.16668756312507507,0.16661980949583446,0.16702282806026816,0.16457402476112687
12,4.929107420081412,0.1652258872983344,0.1697219710808036,0.16679103230001893,0.1666358959210781,0.16724037257387328,0.16438484082589155
13,6.401451040276737,0.16506853610056346,0.16967904141405676,0.16690693846952073,0.16666462262862924,0.16752801097977754,0.16415285040745234
14,4.826051490911613,0.16495980097674387,0.16963056118206488,0.16698885191357998,0.16669015480138444,0.1677496637509604,0.16398096737526652
15,5.0406490359006,0.16482696764810284,0.16955538186399916,0.1670914660599879,0.1667177682160067,0.16801544129397322,0.1637929749179301
16,3.346648093069652,0.1647450854348897,0.16949933575928022,0.16715513489184852,0.1667360370107069,0.16819192264302693,0.16367248426024775
17,3.777936749909324,0.16464071386013635,0.16941336314560612,0.16725017641486992,0.16675005161410345,0.16842343422570638,0.16352226073957776
18,4.060815479376237,0.1645451934458975,0.1693242682250332,0.1673535947297186,0.16676783110094343,0.1686352614895978,0.1633738510088095
19,5.290392189492615,0.16443669690168014,0.16921185869107896,0.1674756840870928,0.1667849678122508,0.16889612155635855,0.16319467095153858
20,4.201984563787911,0.1643415854296997,0.16911160222899047,0.1675706322060517,0.16680875583341692,0.16911897499198741,0.16304844930985388
21,5.273779555648402,0.16423269084788708,0.16899013555696155,0.16767843712734956,0.16683340028737526,0.1693882383136824,0.1628770978667442
22,4.465983776845097,0.16412576716830476,0.1688600685185773,0.16779840697162587,0.166840474923575,0.16966540200934824,0.1627098804085687
23,5.00964309503428,0.16401973375629159,0.16872504574417935,0.16791042376360557,0.16686119375970673,0.16994455934765892,0.16253904362855787
24,5.858169149964653,0.16389030556592105,0.1685494240438996,0.16805540984188014,0.16687915786289195,0.170299037183178,0.16232666550222932
25,4.909557335105516,0.16376953811693046,0.1683931437708488,0.16817470540885923,0.1669030317597811,0.1706157477436478,0.16214383319993264
