round,reward,w0,w1,w2,w3,w4,w5
1,6.088047433255378,0.25542917291904216,0.050672550228535014,0.1952079522222567,0.057986324258860654,0.22615084018565276,0.21455316018565276
2,5.449205502471674,0.25529890180735265,0.05121866180166926,0.19512464005216312,0.057966472796987155,0.22602432110670775,0.21436700243512016
3,5.629745101934985,0.25516894066471857,0.051695769286318756,0.1950608577337895,0.05795992938744019,0.22593488304626977,0.21417961988146325
4,5.721799201198432,0.25502703663778375,0.05208918062474805,0.19503819824034468,0.05796654702160073,0.2259093594128305,0.21396967806269235
5,4.471008649158816,0.25490691097729723,0.05234371435738317,0.1950344359882752,0.05800175733413594,0.22591171493504328,0.21380146640786513
6,6.130319234792112,0.2547572452171092,0.052627730146217536,0.1950399021880521,0.058032360234089614,0.22595462927818086,0.21358813293635065
7,6.2742368031858495,0.2546160726541629,0.05285856710109732,0.1950643610921328,0.058062477190199406,0.2260277110888232,0.21337081087358437
8,6.077665596120659,0.2544686509139716,0.05302823152311558,0.19511566233611954,0.05810477672618875,0.2261269297738898,0.21315574872671478
9,6.121739895054136,0.2543202480942953,0.05315332929119665,0.19518538091987261,0.05813654249167453,0.22626670386338604,0.21293779533957485
10,4.915713576406633,0.25419052584176544,0.053221209678062854,0.19524907305389919,0.05818985606584375,0.22639429570486586,0.21275503965556283
11,5.1846467378776,0.25404165801606404,0.05325455474521158,0.19533206262932196,0.05824323941782083,0.22657486727178575,0.2125536179197959
12,5.074347100362524,0.2538892777421974,0.05325959607060216,0.19543113691928127,0.058290909702169304,0.22677622682366605,0.21235285274208388
13,5.7258344012738585,0.25374463953303433,0.05325271832970342,0.19552912604077885,0.0583467667848862,0.22698146392532972,0.21214528538626756
14,5.447120280668916,0.25360036578378947,0.05321996413508073,0.19562352481453812,0.058397377885063065,0.22721899095502612,0.2119397764265025
15,5.443954196539125,0.25344539008638245,0.05316031387006382,0.1957389969819078,0.05844476793784465,0.22748593792984187,0.2117245931939594
16,4.314541674714972,0.25330741808512247,0.05308898479404786,0.19584687388141325,0.05848480549539439,0.22773724463945866,0.21153467310456334
17,4.361530752021371,0.2531919166939365,0.053035707467488494,0.19593546513961788,0.05852874682822659,0.22793276763795559,0.21137539623277488
18,5.482468316683734,0.2530184220450013,0.0529236771026646,0.1960811422810862,0.05857415167570566,0.22825403727493607,0.21114856962060613
19,5.472907879524925,0.25287803606263737,0.052826180077441914,0.19617670400993276,0.05862617318703153,0.22854447066258787,0.2109484360003685
20,5.6400077338322525,0.2527352538310579,0.05270996830193576,0.1962823175923726,0.05867971351018122,0.22885607217955503,0.21073667458489753
21,5.489454058289083,0.2525675033069505,0.0525642854586342,0.19643702616459605,0.058723387402931856,0.22920365446262275,0.21050414320426467
22,4.707171452477859,0.2524401705456728,0.052454916715205954,0.19652728452829185,0.058771868768146385,0.229483184289431,0.21032257515325206
23,5.000595719527741,0.2522959069264328,0.05231303119067975,0.1966531801446288,0.05881266056729154,0.22981430221545632,0.21011091895551084
24,5.169664902449919,0.2521501390902059,0.052169579205822714,0.1967722988680294,0.05886455918881848,0.23014162051942536,0.20990180312769827
25,4.990058050107109,0.25203734812355166,0.052062394298913385,0.19685322107064648,0.05891639335539744,0.2303954249470381,0.20973521820445284
26,4.706817391459072,0.2518825041052871,0.0519059923521779,0.19699088424407485,0.05894872865669843,0.2307486042940394,0.20952328634772222
27,6.963643849787968,0.2516901638241895,0.051692106578841004,0.19716407114653386,0.05899351815715566,0.23121264710272038,0.20924749319055955
28,5.555660911608061,0.25151983700501296,0.05151584600790794,0.1973174722288593,0.05904281976061912,0.2315854412518234,0.20901858374577723
29,4.3657249087194385,0.25140753408282335,0.0513957186311819,0.19741634788619022,0.059093563462062924,0.23183412530858052,0.208852710629161
30,6.482952906988975,0.2512246666356256,0.0511820696319033,0.19759673163278468,0.059131605163207195,0.232276095177288,0.20858883175919116
31,6.419456540407875,0.25103819281136874,0.05095957546709211,0.19778108662217794,0.059168821389342964,0.2327336976428006,0.20831862606721754
32,6.443767022791598,0.2508144567737844,0.05071088498828908,0.19799585499455027,0.05920169059505685,0.23325303772236666,0.20802407492595265
33,4.258577358931294,0.25068344640768103,0.050578115426621266,0.198113949431282,0.05924328387776249,0.2335294512624375,0.2078517535942158
34,5.644279003950458,0.2504864403265529,0.05036337639964501,0.198316079502559,0.05927835376524318,0.23395972036633542,0.20759602963966445
35,4.219648288495605,0.2503571175871361,0.05022301422681255,0.19844102591049453,0.05931947378124059,0.23424126136551252,0.2074181071288038
36,5.248278884331762,0.25019749070416303,0.05004599705024582,0.19859068621906434,0.059368087279699173,0.23459467938589762,0.20720305936093014
37,6.208631344356087,0.2500228552432536,0.05,0.19876460037238555,0.05941045930874696,0.23501335807872184,0.20695378432844505
38,4.303152385196089,0.24984301404603196,0.05,0.19888307314873288,0.05941078479095141,0.23532423570735503,0.20672854794071668
39,4.0469806208451375,0.24964842207886442,0.05,0.19901372455109556,0.05940086143845584,0.2356379927746332,0.20649636200485844
40,3.7922887474797116,0.24947183448967458,0.05,0.19911628181354224,0.05940273022469753,0.23590535512064945,0.2062830239695241
41,4.079268848698839,0.24931091396198618,0.05,0.1992143841868193,0.05940023772916751,0.23617553684852735,0.20607404693035333
42,4.102147785065748,0.24914706347126678,0.05,0.19930714463843804,0.05938959694224082,0.23646817957876629,0.20586428343971847
43,4.084368159613481,0.24895493891001017,0.05,0.19943687089324807,0.0593723223858985,0.2368154839859814,0.20562572833874132
44,4.930234931318981,0.24879976673629817,0.05,0.19952469224637176,0.05938043855263723,0.23705784232396232,0.2054149279717477
45,5.383925530201615,0.24861903014141035,0.05,0.199665067232899,0.05938052948804319,0.23740402767122012,0.20515661344810812
46,4.164479244078637,0.248474595971767,0.05,0.19972445132042163,0.05938166167315465,0.2375993832786106,0.20497210358646722
47,5.867405659078142,0.24829755054207628,0.05,0.19984061865750563,0.05940172898281891,0.23793948776427762,0.2047300670949096
48,4.155267012692447,0.2481278505277815,0.05,0.1999500610169055,0.059390870302262644,0.23821509338642857,0.2045071176236685
