round,reward,w0,w1,w2,w3,w4,w5
1,6.088047433255378,0.2549458645952106,0.053562751142675016,0.19463976111128353,0.05773162129430323,0.22535420092826386,0.21376580092826386
2,5.449205502471674,0.2542943969166873,0.05629314332514019,0.19422338110074142,0.05763239997861347,0.22472180681670362,0.21283487186211394
3,5.629745101934985,0.25364473851758457,0.058677105555872335,0.1939049143893861,0.0575997940706085,0.22427532185942212,0.21189812560712631
4,5.721799201198432,0.2529356900148205,0.06064020125427017,0.193792671667248,0.057633123636234934,0.22414931992320164,0.21084899350422476
5,4.471008649158816,0.2523362776930738,0.06190625539304451,0.19377511873127592,0.057809654290694346,0.22416300362346026,0.2100096902684512
6,6.130319234792112,0.25158942056353506,0.06331887972153483,0.19380382056502873,0.05796295223747256,0.22437979271432923,0.20894513419809954
7,6.2742368031858495,0.25088579403650807,0.06446398813801883,0.193927564739218,0.05811365618387014,0.22474740744168709,0.20786158946069788
8,6.077665596120659,0.2501514864327863,0.06530176177060289,0.19418560702469248,0.0583252605838978,0.22524556830931322,0.20679031587870728
9,6.121739895054136,0.24941292547934682,0.06591565160361093,0.194535638385273,0.05848389935947109,0.22594637302573817,0.20570551214656008
10,4.915713576406633,0.24876845286308538,0.06624254437023594,0.19485523867557059,0.05875032361066144,0.22658564831734554,0.20479779216310107
11,5.1846467378776,0.24802857182558957,0.06639623292445845,0.1952712778337433,0.05901687744633138,0.22748973833598038,0.20379730163389692
12,5.074347100362524,0.24727155019742264,0.06640804223457179,0.1957676606771974,0.0592546007828108,0.22849740163558424,0.20280074447241309
13,5.7258344012738585,0.24655388900702413,0.06636014893145302,0.19625823183968313,0.05953312642755549,0.22952371394057847,0.2017708898537058
14,5.447120280668916,0.2458384502426921,0.06618261737856436,0.19673057977031913,0.05978512676758959,0.23071130759626265,0.2007519182445722
15,5.443954196539125,0.2450697016586882,0.0658703290530465,0.19730839798027927,0.06002081726850535,0.23204584972599276,0.19968490431348793
16,4.314541674714972,0.2443863908107961,0.06549945680495782,0.1978480949232922,0.0602194786739144,0.233301824027183,0.19874475475985645
17,4.361530752021371,0.24381624296215929,0.06521942566553726,0.1982906074236005,0.06043759587920151,0.23427706182722766,0.19795906624227372
18,5.482468316683734,0.2429549893227933,0.0646443339387606,0.19902003903564758,0.06066276653709376,0.23588356022244672,0.19683431094325798
19,5.472907879524925,0.24226075591041396,0.06414282739923938,0.19949685381316798,0.06092114922690796,0.2373338281854903,0.1958445854647804
20,5.6400077338322525,0.24155456231819486,0.06354742768714848,0.20002438445577664,0.06118679864869088,0.2388900553860412,0.19479677150414795
21,5.489454058289083,0.24072274817896255,0.06280344873478894,0.20079914450950925,0.061402377781916255,0.24062818663011531,0.19364409416470768
22,4.707171452477859,0.24009484661549718,0.062242789301715576,0.2012489316202295,0.061641992689562504,0.24202281025303823,0.192748629519957
23,5.239182665254071,0.2393611600272535,0.061499923979563255,0.20188545010077938,0.061850474758163736,0.24372822590111048,0.1916747652331297
24,4.833826277685236,0.2386739500954134,0.060812255494528164,0.2024332220263137,0.06210927213997125,0.24527496357197812,0.1906963366717953
25,5.0385868813026145,0.23809034727408696,0.06025224235059189,0.20283522683081573,0.06240233714232724,0.24655467068194267,0.18986517572023556
26,4.65275552827965,0.23731202143921049,0.05945460017732548,0.20353737988070325,0.06258115162706951,0.24829652780924943,0.18881831906644175
27,5.953567336951915,0.2364156200127457,0.058475157656694955,0.204326801879023,0.0628048404775437,0.25039997769576383,0.18757760227822887
28,6.117541836490187,0.23550650927066014,0.05747852005672554,0.2050759708715904,0.06304756237742046,0.2525570944233294,0.18633434300027413
29,4.386473687274555,0.23495186178923816,0.056882555290332704,0.2055287015299353,0.06328844113699904,0.25381098398307395,0.18553745627042084
30,6.227661301158734,0.23406245581359342,0.05581940830882152,0.2063823079517135,0.0634411793674769,0.25604006922706746,0.18425457933132713
31,4.484297656126473,0.23344228796704297,0.055117225244095125,0.20692559567996183,0.0636515673268785,0.2574959791294796,0.18336734465254204
32,5.907215529704599,0.2324974682967756,0.05403158193201695,0.20778455691821146,0.06385404032495227,0.25974504196374165,0.18208731056430197
33,4.414937071361299,0.23190616444095657,0.05336844647034425,0.20825212374625948,0.06410306898669721,0.2611160399173857,0.1812541564383567
34,5.179560005128906,0.23106303035784984,0.05243862503261378,0.20902687313270102,0.06427994657964646,0.26303904705122894,0.18015247784596006
35,5.055132648790217,0.2302274568798665,0.0514993568458271,0.20979867917423964,0.06444378971525795,0.2649827756933267,0.17904794169148205
36,5.187144333405909,0.22945036239607502,0.05058654051565291,0.21051741376643257,0.06463472664552566,0.266836618288697,0.17797433838761684
37,5.597907883263531,0.22854282787331076,0.05,0.21133904561402742,0.06484429847369368,0.26897746301543957,0.17676262335006507
38,5.183030135466492,0.22756234648515125,0.05,0.2121206582837126,0.06494629881359248,0.2709150238935545,0.17553298692425534
39,5.188382002655695,0.2265027110810403,0.05,0.21283935330502513,0.064905549454011,0.27279206056522787,0.17417269205489777
40,3.076182934682559,0.2258054331409424,0.05,0.21305236600225982,0.0648741696561257,0.2736745127625228,0.17331531402850534
41,3.4013355594582704,0.22508479139958265,0.05,0.21344671354482325,0.06488164711639176,0.27488385779366825,0.17244194380833938
42,5.279340311178452,0.22416022026679877,0.05,0.2140264802582287,0.06492927556198384,0.2767155705399247,0.17123657660169642
43,4.321867624412007,0.22335807199408544,0.05,0.21439425781457017,0.06489999262010639,0.2780834918844251,0.17018450202729093
44,4.0343688820933155,0.22256008368192637,0.05,0.21488483406616452,0.06486939602677148,0.2794205879654263,0.16916038323387375
45,5.191436667821362,0.22163976875220942,0.05,0.2155386791752924,0.06482784275876766,0.2812262748341443,0.1678994842467732
46,4.666381625988531,0.22085822277559558,0.05,0.215926514940622,0.0648099830214094,0.2824651524438764,0.1668571715894804
47,5.2279361396601685,0.2199302379244693,0.05,0.21650433020568424,0.06481831393672015,0.28415374943423055,0.1656631902736839
48,5.443641529015058,0.21887197646277148,0.05,0.21731005848394697,0.06469001256057579,0.2861987169420591,0.16423497554560382
49,5.462365180853151,0.2178150859566773,0.05,0.21792902799271913,0.06461889625835633,0.2879884105442741,0.16288173868979508
50,4.993717437611478,0.21692329357307644,0.05,0.21842238439136769,0.0645458776030702,0.2894845560085277,0.1616940704259958
51,3.8438389637350974,0.21607915588829296,0.05,0.21884931271021554,0.0644604550445402,0.29081999946083265,0.16068515326166372
52,4.41751845590447,0.21518491080740276,0.05,0.21939331811117635,0.06446618768575707,0.29235916452106614,0.15958387150303197
53,6.467132888811905,0.21406234389379947,0.05,0.2202137947328852,0.06442763453045659,0.29461822880040955,0.15807414864646138
54,5.196372545638007,0.21306248410747147,0.05,0.22072549026352178,0.06437472618851316,0.29625726812180814,0.1567716624116163
55,4.48798154342202,0.21224426069658275,0.05,0.22110739389172734,0.06433460410787994,0.2976231953423801,0.15567667778630268
56,4.915634963186997,0.21126070239208758,0.05,0.22165874534311195,0.06431622585811952,0.29945365234684485,0.1544398268211997
57,5.1783720900589705,0.21047914816055263,0.05,0.22201269315090486,0.0643344738450133,0.30076699998834283,0.15337014924371364
