round,image_id,category,quality,freshness,ctr,lr,awt,social_proof,cos_ui_own,own_query_score
10,9,0,0.311360,0.949324,0.214936,0.184179,0.636791,0.279582,0.082317,0.360597
10,10,1,0.490499,0.330722,0.167424,0.111272,0.491090,0.178116,0.070773,0.209632
10,11,1,0.199080,0.747691,0.199051,0.105799,0.388011,0.204783,0.079305,0.266806
10,12,1,0.612538,0.452362,0.293420,0.283277,0.817620,0.366290,0.067478,0.348998
10,13,1,0.080769,0.451742,0.150856,0.046676,0.260149,0.086502,0.082567,0.170131
10,14,1,0.448982,0.649095,0.190210,0.154104,0.735634,0.235420,0.074119,0.313484
10,15,1,0.251850,0.607621,0.251565,0.160130,0.564744,0.274032,0.071659,0.296800
10,16,1,0.071009,0.250822,0.165197,0.086629,0.193100,0.150972,0.077447,0.146393
10,17,1,0.225512,0.888624,0.281558,0.207741,0.630515,0.327304,0.076298,0.369666
10,18,1,0.023145,0.413460,0.187912,0.066817,0.254904,0.150328,0.079356,0.180921
10,19,1,0.378901,0.963053,0.434491,0.363395,0.698251,0.472571,0.076849,0.459115
10,20,2,0.154859,0.438756,0.180720,0.090219,0.347311,0.170083,0.112386,0.212280
10,21,2,0.496025,0.631503,0.238502,0.173231,0.690783,0.271594,0.105039,0.327340
10,22,2,0.753268,0.902978,0.337726,0.387443,0.845198,0.433151,0.056707,0.450386
10,23,2,0.075313,0.808482,0.155825,0.063442,0.199010,0.121882,0.056907,0.216668
10,24,2,0.346724,0.538510,0.182621,0.116712,0.401000,0.197307,0.109883,0.243050
10,25,2,0.118530,0.449373,0.139784,0.080543,0.228889,0.114916,0.109838,0.179587
10,26,2,0.401554,0.470468,0.220843,0.145657,0.697966,0.248660,0.115062,0.296531
10,27,2,0.428317,0.704882,0.234985,0.181564,0.701441,0.293237,0.117778,0.347127
10,28,2,0.226272,0.371389,0.170112,0.060230,0.398790,0.128256,0.077330,0.188772
10,29,2,0.109343,0.827696,0.175510,0.071626,0.415639,0.149586,0.024078,0.252236
